model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n,alternative,observed,p,p_bh,significant_bh,p_by,significant_by,observable
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,greater,0.9338268833136396,0.6387180640967952,0.7548486212053035,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,greater,0.8447014054271509,0.7822608869556522,0.8170351482425879,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,1.0854264170867567,0.22488875556222188,0.4176505460441264,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,greater,0.33021899087428247,1.0,1.0,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,greater,1.0038253859721895,0.33773311334433276,0.5488163091845407,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,greater,1.2603312988499946,0.21588920553972302,0.4176505460441264,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,greater,0.9954530126145498,0.4335283235838208,0.6630433184223141,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,1,greater,0.9883500229040859,0.5021748912554372,0.6871866932969142,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,1.3378369108325037,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,1.2007771288142552,0.2070896455177241,0.4176505460441264,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,greater,2.899287092566698,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,1.386530542843953,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,0.9317480992259176,0.5813709314534273,0.7548486212053035,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,1.3805089564500093,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,17,greater,2.017811708442034,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,1.175026501972885,0.20298985050747462,0.4176505460441264,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,0.8840567697320144,0.7856107194640268,0.8170351482425879,False,1.0,False,h1_max_persistence_normalised__ratio
