run,model,t_g,stage,step,pca_dim,depth,layer,draw,diameter,n_points,betti_1,life_1,betti_2,life_2
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,0,operands,1,2.771050752612662,300.0,2.0,0.2466946645095714,1.0,0.2077216735427819
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,0,operands,2,2.753370488648744,300.0,2.0,0.25380020259383235,1.0,0.20838502028967443
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,1,hook_hidden,0,21.40498616952174,300.0,0.0,0.03170273554100983,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,1,hook_hidden,1,21.40498616952174,300.0,0.0,0.02309217699785833,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,1,hook_hidden,2,21.40498616952174,300.0,0.0,0.028627688021729433,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,2,logits,0,155.06951226908427,300.0,0.0,0.02832104289405365,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,2,logits,1,155.06951226908427,300.0,0.0,0.028035114973686052,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,2,logits,2,155.06951226908427,300.0,0.0,0.03195749500296931,0.0,0.0
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,0,operands,0,4.321648011087988,300.0,0.0,0.09149095475557632,0.0,0.06904374403669204
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,0,operands,1,4.357676592055999,300.0,0.0,0.08836859732498022,0.0,0.0659316783339244
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,0,operands,2,4.355792731261941,300.0,0.0,0.09177324325773409,0.0,0.066655833044745
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,1,hook_hidden,0,27.363749674628668,300.0,0.0,0.10950490210365312,1.0,0.05379665948081489
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,1,hook_hidden,1,27.00913199821698,300.0,0.0,0.09783736508327227,0.0,0.04898286607366382
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,1,hook_hidden,2,27.389632826036433,300.0,0.0,0.10270198591077266,0.0,0.03618631478115117
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,2,logits,0,183.91063802502813,300.0,0.0,0.09568613540058013,0.0,0.046395257071450736
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,2,logits,1,186.9210212525788,300.0,0.0,0.09204541558890464,0.0,0.04603142204029533
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,2,logits,2,189.62677683712172,300.0,0.0,0.11874950286729834,0.0,0.04822878824430352
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,0,operands,0,3.560025679258575,300.0,0.0,0.13090321192968388,0.0,0.09757645279975247
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,4,0,operands,1,3.5792264550958914,300.0,0.0,0.11782681389454364,0.0,0.08452496313932166
