run,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,steps,seed,n_snapshots,replicate,t_c,t_g,t_top__raw,lead_lag_steps__raw,t_top,lead_lag_steps,t_changepoint,lead_lag_steps__changepoint,diverged,grokked,plateau_relaxed,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,h1_total_persistence__baseline,h1_total_persistence__plateau,h1_total_persistence__ratio,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__baseline,h1_total_persistence_normalised__plateau,h1_total_persistence_normalised__ratio,h0_total_persistence__baseline,h0_total_persistence__plateau,h0_total_persistence__ratio,lid__baseline,lid__plateau,lid__ratio,scale_initial,scale_final,scale_collapse,circularity_column,circularity,test_acc__final,test_acc_novel__final,weight_norm__final,train_acc__final,generalisation_gap,fits_train_set,effective_rank__ratio,log_ratio,log_collapse,condition,residual,residual_sd
transformer_add113_f0.3_wd0.1_softmax_ce_s0,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,0,120,False,500.0,13000.0,15126.0,-2126.0,15126.0,-2126.0,15126.0,-2126.0,False,True,False,0.0506216287612915,0.0710043907165527,1.4026492717446335,0.3006442785263061,4.605529099702835,15.318864946567928,0.0428510207754598,0.124237411437598,2.899287092566698,0.2628191013135773,7.81990730715666,29.75395345343068,113.21558797359468,51.12634781002998,0.4515839976201352,42.73506956478544,19.544251885771143,0.4573352070046939,15.283698081970217,0.616351842880249,24.797034775703082,fourier_concentration_k5,0.7592647302298183,0.9982098937034608,0.9974481463432312,37.93806073596568,0.9999999403953552,0.0017900466918945312,True,0.2418592171153651,1.535698198702796,-2.0477605757794373,transformer add p113 f0.3 wd0.1 softmax_ce,0.1099696416267788,0.21360449755227803
transformer_add113_f0.3_wd0.1_softmax_ce_s1,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,1,120,False,500.0,12000.0,16134.0,-4134.0,14622.0,-2622.0,15630.0,-3630.0,False,True,False,0.0513620972633361,0.1048327088356018,2.041051951171681,0.7607485949993134,9.585319519042969,12.599851753984009,0.0346980557518919,0.2001591713940288,5.768599048467296,0.4892301742719876,18.40416745464414,37.6186270236315,140.36267411708832,50.24855864048004,0.3579908900749746,40.82901456126556,22.207951916817283,0.5439257389740173,15.303062438964844,0.5568974614143372,27.479138439776825,fourier_concentration_k5,0.8706815167237938,1.0,1.0,35.38479194419651,0.9999999403953552,-5.960464477539063e-08,True,0.1877725665175216,2.528220991100428,-2.4129417935578656,transformer add p113 f0.3 wd0.1 softmax_ce,0.7668057797925198,1.489439820752117
transformer_add113_f0.3_wd0.1_softmax_ce_s2,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,2,120,False,500.0,14000.0,16639.0,-2639.0,16639.0,-2639.0,16134.0,-2134.0,False,True,False,0.0535041093826293,0.08980304002761835,1.6784325739430757,1.0395047068595886,7.134380057454109,6.863249401734347,0.049225396670961,0.15272022990973055,3.1024682427764594,0.840607494081478,12.448550190953501,14.808992637587519,111.293114900589,54.05981735885143,0.48574269313191204,44.752845493324685,21.63129866578725,0.48335024124921316,15.033526420593262,0.5806953310966492,25.88883639240269,fourier_concentration_k5,0.827082646401613,1.0,1.0,36.205567687698334,0.9999999403953552,-5.960464477539063e-08,True,0.2480933499767459,1.6334164428380162,-2.011045029887369,transformer add p113 f0.3 wd0.1 softmax_ce,0.2414380299610468,0.46896805624656
transformer_add113_f0.3_wd0.1_softmax_ce_s3,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,3,120,False,500.0,11500.0,9580.0,1920.0,13613.0,-2113.0,10588.0,912.0,False,True,False,0.0485206842422485,0.0464015752077102,0.9563256564157616,0.7441801428794861,2.288859397172928,3.0756792143318314,0.0377622308733479,0.08299566026530905,2.197848441308226,0.5856642360737374,3.973235271361192,6.7841521244280765,151.2044620513916,53.016685619950294,0.3506291077701854,50.24059948341629,37.65500163531691,0.7494934778345208,15.013136863708496,0.5423484444618225,27.681718306772638,fourier_concentration_k5,0.6550313774445015,1.0,1.0,30.096957541112328,0.9999999403953552,-5.960464477539063e-08,True,0.2851293185316604,1.1360919047076348,-1.810311702312586,transformer add p113 f0.3 wd0.1 softmax_ce,-0.07136579394328812,-0.13862057138834372
transformer_add113_f0.3_wd0.1_softmax_ce_s4,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,4,120,False,500.0,10500.0,46891.0,-36391.0,12101.0,-1601.0,12101.0,-1601.0,False,True,False,0.0955601930618286,0.066902220249176,0.7001055366839773,2.1492608785629272,4.186971455812454,1.9480982962905895,0.05279241866651565,0.1255244066426398,2.3776975901703756,1.196175310636948,7.749300083359237,6.478398286980889,181.39086484909058,52.575226187706,0.2898449501933095,46.57789648694115,30.61187710558623,0.6572189689624295,15.075989723205566,0.596986711025238,25.25347624122946,fourier_concentration_k5,0.7531757276599529,1.0,1.0,35.99260416249525,0.9999999403953552,-5.960464477539063e-08,True,0.2614397206806603,1.2495652361495824,-1.9354497476499162,transformer add p113 f0.3 wd0.1 softmax_ce,-0.07292349288115219,-0.14164623823637632
transformer_add113_f0.3_wd1.0_softmax_ce_s0,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,60000,0,127,False,200.0,21500.0,33103.0,-11603.0,33103.0,-11603.0,264.0,21236.0,False,True,False,0.0070245042443275,0.00984569266438475,1.4016210001346991,0.25648023560643196,0.6713995151221752,2.6177436773429803,0.06194783049087965,0.09734292161092595,1.5713693415826302,2.2678914479209693,6.028072138996348,2.6580073506262507,11.414197966456413,9.82176523283124,0.8604866729747503,47.91593307986042,41.43936102370516,0.8648346877569743,15.283698081970217,0.0911246165633201,167.72304409478613,fourier_concentration_k5,0.3774624287003187,1.0,1.0,31.38175556097348,0.9999999403953552,-5.960464477539063e-08,True,0.6724211449320224,0.6520223178971387,-0.5725630026617007,transformer add p113 f0.3 wd1.0 softmax_ce,0.582344164134472,1.131142474798741
transformer_add113_f0.3_wd1.0_softmax_ce_s1,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,60000,1,127,False,300.0,27500.0,60000.0,-32500.0,33103.0,-5603.0,,,False,True,False,0.00731024146080015,0.004968985915184,0.6797293826516251,0.23077501356601715,0.3114256933331489,1.349477521508455,0.0576922832412562,0.0556556087890934,0.9646976278673893,1.7604455537021755,3.245256522772608,1.8434290773423296,12.622401922941208,8.918812081217766,0.7065859680008946,48.92644869777,58.47380077903683,1.195136829575411,15.303062438964844,0.1533876657485962,99.76722942017193,fourier_concentration_k5,0.3295196630070622,1.0,1.0,27.928673169058406,0.9999999403953552,-5.960464477539063e-08,True,0.7334832622060863,-0.05185127596214419,-0.447164050335379,transformer add p113 f0.3 wd1.0 softmax_ce,-0.006258565010875704,-0.012156606266695635
transformer_add113_f0.3_wd1.0_softmax_ce_s2,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,60000,2,127,False,200.0,21800.0,44567.0,-22767.0,38410.0,-16610.0,60.0,21740.0,False,True,False,0.0074555575847625,0.0074623748660086996,1.0009143891880243,0.2257889807224273,0.6826191134750843,3.0232614155526885,0.0557596386365783,0.08749240562939055,1.569099222461524,1.87944326821162,7.785248479442288,4.142316297128949,11.67153087258339,9.578926768153906,0.8207086861805726,50.35174157571917,48.86440388528992,0.9704610477436498,15.033525466918944,0.0851912945508956,176.4678603156747,fourier_concentration_k5,0.3219422522898848,1.0,1.0,32.53754314238017,0.9999999403953552,-5.960464477539063e-08,True,0.6896973292929135,0.64993658444565,-0.535964714630817,transformer add p113 f0.3 wd1.0 softmax_ce,0.6139007875775719,1.1924379068406727
transformer_add113_f0.3_wd1.0_softmax_ce_s3,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,60000,3,127,False,200.0,16800.0,41374.0,-24574.0,41374.0,-24574.0,93.0,16707.0,False,True,False,0.00708353519439695,0.0059694945812225,0.8427281600780848,0.2920092679560184,0.3501552939414978,1.1991239058694438,0.0555686710122263,0.0609448717316786,1.0967487726720946,2.2394232233130715,3.574870399004937,1.5963353250021957,12.321628328412771,9.404002010822296,0.7632109783036839,47.577325501842154,60.85302600664701,1.279034190442059,15.013136863708496,0.1377265751361847,109.00682637946551,fourier_concentration_k5,0.3527702772080742,1.0,1.0,35.690634206664555,0.9999999403953552,-5.960464477539063e-08,True,0.6806401910151578,0.13323309189544,-0.5550357515975218,transformer add p113 f0.3 wd1.0 softmax_ce,0.07966656704789019,0.1547439527331841
transformer_add113_f0.3_wd1.0_softmax_ce_s4,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,60000,4,127,False,200.0,19100.0,38410.0,-19310.0,30732.0,-11632.0,75.0,19025.0,False,True,False,0.0075808316469192,0.00655497610569,0.8646777043721712,0.24576901271939272,0.5090281069278717,2.071164713954625,0.05972420510557615,0.0717154595273874,1.2007771288142552,1.937327394913488,5.426045512512078,2.8007891318516043,12.908682078123093,9.077705144882202,0.7032247823553255,45.48551832502385,53.384831777901184,1.1736665590228426,15.075989723205566,0.0791412070393562,190.4948166346315,fourier_concentration_k5,0.3024614795984436,1.0,1.0,34.708539972482214,0.9999999403953552,-5.960464477539063e-08,True,0.6858884628938299,0.26396840333998506,-0.5439541061174291,transformer add p113 f0.3 wd1.0 softmax_ce,0.2205884935577625,0.42847001804492435
transformer_add149_f0.3_wd1.0_softmax_ce_s0,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,60000,0,127,False,300.0,10500.0,7485.0,3015.0,5989.0,4511.0,125.0,10375.0,False,True,False,0.0075747482478618,0.0066876485943794,0.8828872426574955,0.30577346310019493,0.6590420827269554,2.155327921674493,0.0595800282298651,0.0717460053561658,1.204195558272703,2.617308362299358,6.1208643530144045,2.338610322414246,15.555433448404074,12.86957524716854,0.8273363316975849,49.22614372097733,51.45995550975432,1.0453785655329542,15.283698081970217,0.0893731862306594,171.00988256729687,fourier_concentration_k5,0.3399502150151722,1.0,1.0,36.70156905031497,1.0,5.960464477539063e-08,True,0.5790560448585995,0.2680697011012044,-0.7882251063851615,transformer add p149 f0.3 wd1.0 softmax_ce,0.00014780828768440335,0.0002871020997962522
transformer_add149_f0.3_wd1.0_softmax_ce_s1,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,60000,1,127,False,300.0,9600.0,10077.0,-477.0,12594.0,-2994.0,31.0,9569.0,False,True,False,0.0084787383675575,0.0086966231465339,1.0256977830345728,0.4651423320174217,1.1524765491485596,2.477685795979958,0.0640356646361221,0.0887874048492957,1.386530542843953,3.438102380839363,12.112542594351993,3.523031385526946,17.54798537492752,11.433524668216704,0.6515576816329509,47.760812377459445,41.6799763912066,0.872681479155018,15.303062438964844,0.0852308273315429,179.54844412617084,fourier_concentration_k5,0.3075373094819161,1.0,1.0,41.80248043178421,1.0,5.960464477539063e-08,True,0.5375983447841957,0.4714793967770854,-0.895399398689046,transformer add p149 f0.3 wd1.0 softmax_ce,0.10503934954689836,0.20402792217265628
transformer_add149_f0.3_wd1.0_softmax_ce_s2,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,60000,2,127,False,300.0,6800.0,12594.0,-5794.0,14613.0,-7813.0,38.0,6762.0,False,True,False,0.0112967044115066,0.0087237954139709,0.7722425139392878,0.6515241861343384,0.9209485426545144,1.4135293243965976,0.059511981879210446,0.0854812313675425,1.4363701000756621,3.7760302776800496,9.518484356342812,2.5207648393621627,25.157355837523937,13.787874542176723,0.5480653305229779,51.79675935202188,43.81273826091868,0.845858675504348,15.05375862121582,0.100578486919403,149.67175468924,fourier_concentration_k5,0.4413674081367579,1.0,1.0,35.631565672327085,1.0,5.960464477539063e-08,True,0.4847267675274685,0.5224275268415154,-1.0447563418386843,transformer add p149 f0.3 wd1.0 softmax_ce,0.0186936372904859,0.03631043024047119
transformer_add149_f0.3_wd1.0_softmax_ce_s3,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,60000,3,127,False,300.0,9800.0,44567.0,-34767.0,44567.0,-34767.0,5.0,9795.0,False,True,False,0.00797471031546585,0.0068135187029838,0.8543907469303205,0.30732007697224617,0.5379630550742149,1.7504975931748121,0.0636824287020818,0.07493037677501216,1.1766256140379059,2.5530016821567925,5.797586134986781,2.270890056793438,16.21840864792466,12.940427046269178,0.7978851271530305,44.18804214769757,51.72809465907224,1.1706355870253813,15.14302921295166,0.1180532649159431,128.272853984461,fourier_concentration_k5,0.3006016247973259,1.0,1.0,34.428117038298254,1.0,5.960464477539063e-08,True,0.5828179714484253,0.23465534782590086,-0.7788827306630829,transformer add p149 f0.3 wd1.0 softmax_ce,-0.024678724212497505,-0.04793583399618994
transformer_add149_f0.3_wd1.0_softmax_ce_s4,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,60000,4,127,False,300.0,9800.0,8062.0,1738.0,12594.0,-2794.0,264.0,9536.0,False,True,False,0.007684059441089601,0.0083495266735553,1.086603602896041,0.2705431208014488,0.9731866493821144,3.597159101658824,0.0576275279240479,0.0881104801513765,1.52896512006388,2.075171219470842,11.535772033953833,5.558949510149526,17.367877777665854,11.388421356678009,0.6557174976969783,43.442948155577746,48.23648562044444,1.1103409797995314,15.075989723205566,0.0947600379586219,159.09649307853462,fourier_concentration_k5,0.3682904099865329,1.0,1.0,33.31102037683676,1.0,5.960464477539063e-08,True,0.5259511554783582,0.6125554951978384,-0.9269992706952184,transformer add p149 f0.3 wd1.0 softmax_ce,0.2170678004121735,0.4216314407860151
transformer_add97_f0.3_wd0.1_softmax_ce_s1,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,150000,1,130,False,200.0,142200.0,108692.0,33508.0,38154.0,104046.0,11.0,142189.0,False,True,True,0.0139635801315307,0.0151913911104202,1.087929525760877,0.6454234048724174,0.7885687351226807,1.2217851555577832,0.0653185516734157,0.0622675564419729,0.9532905253824766,2.959244061013307,3.232241725969785,1.0922525007494643,18.8299300968647,22.04030765593052,1.1704933338865855,46.70570153352813,58.92580917731436,1.2616405972408726,15.303062438964844,0.2439696043729782,62.72528284125788,fourier_concentration_k5,0.2581367688012379,0.991193413734436,0.9873527884483336,26.757705818573093,1.0,0.008806586265563965,True,0.9922821215965232,-0.06901213714935682,-0.011177734797121142,transformer add p97 f0.3 wd0.1 softmax_ce,0.37735361586654265,0.732969829894218
transformer_add97_f0.3_wd0.1_softmax_ce_s2,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,150000,2,130,False,200.0,137000.0,127686.0,9314.0,29965.0,107035.0,41.0,136959.0,False,True,True,0.0176129341125488,0.0120053514838218,0.681621324823345,0.7484494298696518,0.6408910825848579,0.8562917640226863,0.0686695791926787,0.05661314207377925,0.8244282656069507,2.996854196319176,3.112841129835399,1.0387028950753365,22.868156239390373,18.711642920970917,0.8182401206766348,48.33219349941975,59.274718929286415,1.2264024170555807,15.033525466918944,0.1775088310241699,84.69170452072863,fourier_concentration_k5,0.2528834351169893,1.0,1.0,22.17627237911111,1.0,0.0,True,0.9811484288249788,-0.27853412621601864,-0.02745669001117974,transformer add p97 f0.3 wd0.1 softmax_ce,0.15286747271922446,0.2969290362252586
