run,t_g,spectral_decay__baseline,spectral_decay__plateau,spectral_decay__ratio,participation_ratio__baseline,participation_ratio__plateau,participation_ratio__ratio,effective_rank__baseline,effective_rank__plateau,effective_rank__ratio,rms_radius__baseline,rms_radius__plateau,rms_radius__ratio,h1_max_persistence__connectivity__baseline,h1_max_persistence__connectivity__plateau,h1_max_persistence__connectivity__ratio,h1_max_persistence__mean_pairwise__baseline,h1_max_persistence__mean_pairwise__plateau,h1_max_persistence__mean_pairwise__ratio,h1_max_persistence__diameter__baseline,h1_max_persistence__diameter__plateau,h1_max_persistence__diameter__ratio,h1_max_persistence__rms_radius__baseline,h1_max_persistence__rms_radius__plateau,h1_max_persistence__rms_radius__ratio,h1_total_persistence__connectivity__baseline,h1_total_persistence__connectivity__plateau,h1_total_persistence__connectivity__ratio,h1_total_persistence__mean_pairwise__baseline,h1_total_persistence__mean_pairwise__plateau,h1_total_persistence__mean_pairwise__ratio,h1_total_persistence__diameter__baseline,h1_total_persistence__diameter__plateau,h1_total_persistence__diameter__ratio,h1_total_persistence__rms_radius__baseline,h1_total_persistence__rms_radius__plateau,h1_total_persistence__rms_radius__ratio
transformer_add97_f0.3_wd3.0_softmax_ce_s4,39100.0,1.5334663361221639,1.8849287770903738,1.2291947548434545,51.18048978624948,70.79104080154306,1.3831645827774453,64.06933620578275,85.37768520245075,1.3325826402856467,0.07747738135439294,0.0791256049348916,1.0212736098159982,0.04595973410496894,0.016053454541394917,0.34929389505887715,0.045303139911893615,0.015550656095929802,0.3432577990437971,0.03504094493852607,0.013624461681000628,0.3888154758640968,0.06427501876922583,0.022086220340203577,0.3436205972883857,1.0969124419449574,0.15736756666242296,0.14346410948114635,1.047795605817864,0.15012218070298364,0.143274298793995,0.8587447541240821,0.13117441904684812,0.1527513483102971,1.4862341211746861,0.21323679471790594,0.14347456546709367
transformer_add97_f0.4_wd0.0_softmax_ce_s0,3800.0,1.2410095604554192,1.7951712936208217,1.4465410669052696,53.62212213388128,42.23850723251927,0.7877067440012927,65.26023641630414,60.27742837028998,0.9236471039695883,11.484564784966581,11.85201519384438,1.0319951531257672,0.05058105881026032,0.07701719085054932,1.522648846467533,0.04933156203545944,0.0724013755192485,1.467648145161236,0.03838335458054879,0.05783601988628355,1.5067995103167096,0.06998040144550143,0.10266187859685191,1.4670089978949579,1.3418542225843386,1.3045981892745961,0.9722354092697273,1.3018172307369555,1.2264106540407265,0.9420759113369996,1.0135527050380397,0.9796873397383448,0.966587464932646,1.846732582182992,1.7389948847248322,0.9416603689686327
transformer_add97_f0.4_wd0.0_softmax_ce_s1,8800.0,1.9569834008189275,1.8559942599984804,0.9483955046434289,40.05624150430584,34.51961853622238,0.8617787700454048,59.3419319635554,53.35192179401881,0.8990594008092737,11.98234518109946,11.730792181335431,0.9790063634487163,0.07697987940825375,0.07629390293778926,0.9910888861383311,0.07065674879990397,0.07104586056750432,1.0055070715000247,0.0562122500220446,0.056844055840138165,1.0112396464800073,0.10017809182891825,0.10063834704600672,1.0045943699733717,0.947119601528393,1.2687936274749798,1.33963400760315,0.8660321010354901,1.210932125933453,1.398253164617773,0.7069160993793769,0.9588568457541448,1.3563941273878954,1.2278445427921942,1.7147675719687419,1.3965673277084856
transformer_add97_f0.4_wd0.0_softmax_ce_s2,,1.6327986979916314,1.63363737554274,1.0005136441816986,45.94329455690422,45.79790276403435,0.9968354077722965,61.16215316998621,61.01872428374122,0.9976549405341182,11.64062347749596,11.64072579933232,1.0000087900649441,0.06794399535475402,0.06865842425555597,1.0105149674680114,0.06297480537594013,0.0635937249901077,1.0098280512416482,0.05085319098623939,0.05133278593527801,1.0094309705986473,0.0893278712303168,0.09020508349100767,1.0098201406639271,2.0533327141058946,2.0705105225726372,1.0083658183346202,1.9031590344431066,1.9177759853212697,1.0076803622890298,1.5368322215751697,1.5480267030091066,1.0072841272305335,2.6995739669565184,2.720286363304898,1.0076724685457426
transformer_add97_f0.4_wd0.0_softmax_ce_s3,4900.0,1.749196188139649,1.8718474601368977,1.0701186481132765,44.99910802136808,42.608182158691086,0.9468672609790032,61.733124441066735,60.73729288195174,0.9838687646521818,11.555647582047264,11.623893429084834,1.0059058435758803,0.06194829896940302,0.061243146987828366,0.9886170888740151,0.057763203849027236,0.05684211636723637,0.9840540790604644,0.04730804737013133,0.046635604961389014,0.9857858769041719,0.0819377233981212,0.08061858390809669,0.9839007061055987,1.7028697542310358,1.365248424111453,0.8017339087263065,1.5897032877118025,1.267039274464089,0.7970287815708353,1.304936722539686,1.0391307488010728,0.7963073847586281,2.2550111419383665,1.7970333922601935,0.7969066577274188
transformer_add97_f0.4_wd0.0_softmax_ce_s4,,1.924605734043721,1.9259810778306412,1.000714610666794,40.82462505368676,40.78135258772157,0.9989400400883466,59.95435260160497,59.936023910332715,0.9996942892304409,11.75650301491694,11.756444496343427,0.9999950224506864,0.05260711396779452,0.052367910084198,0.9954530126145494,0.05042624727577007,0.050180911193415056,0.9951347543073487,0.04178694345746414,0.041574131315058147,0.9949072096497649,0.07151939033833415,0.07117125791488724,0.9951323351359678,1.3347954010506262,1.3409161472855917,1.0045855314081453,1.2794604404784236,1.2849165409245384,1.0042643760396959,1.0602561822308838,1.064534054508337,1.0040347534389775,1.8146547798218218,1.8223887202602524,1.004261934845365
transformer_add97_f0.4_wd0.0_stablemax_ce_s0,,1.7186384632052099,2.2142252310771857,1.2883601050960545,42.788324776128235,29.384284859883614,0.6867360433862374,59.63534105542308,49.55851383925522,0.8310259145361003,11.979229480400193,14.25839538517402,1.190259808320968,0.06233170088524409,0.08519192445559225,1.3667511594531172,0.05852270877305283,0.07939157890922119,1.356594398545297,0.0471237732771746,0.06225542443021795,1.321104404438103,0.08298277682405777,0.11236417240239528,1.354066189429075,1.8468318682125688,1.1930538346300241,0.6460002424501723,1.7339748802167474,1.1118240168920246,0.6411996099695783,1.3962347409536615,0.8718440546757203,0.6244251264513231,2.45870455281803,1.5735823273905036,0.640004642114056
transformer_add97_f0.4_wd0.0_stablemax_ce_s1,,1.7990301182868162,1.8004588842930935,1.0007941868186385,41.862167221166814,41.81606593204223,0.9988987362053898,59.16695674662918,59.15323676867121,0.9997681141854782,12.04274397997584,12.045938934576224,1.0002653012142162,0.07259134801857194,0.07276597235181116,1.0024055805272352,0.06701766028781025,0.06727387950759636,1.0038231597266416,0.05411657815401993,0.05433723564906704,1.0040774472920129,0.09503305664015695,0.0953962319214027,1.0038215679268416,1.6746683263555908,1.6741562930096858,0.9996942479069756,1.5462848012051922,1.547797481332145,1.0009782674742542,1.2485951492431293,1.2501588595121906,1.0012523757360496,2.1926783765913163,2.19481987031611,1.0009766565619729
transformer_add97_f0.4_wd0.0_stablemax_ce_s2,,1.5612259300526892,1.5624180076198666,1.0007635522471352,46.714969915111034,46.69503789173173,0.9995733268497117,61.68379536384477,61.68657435533399,1.0000450522130298,11.61051024388548,11.611624566169052,1.0000959753068699,0.04966723783459465,0.04914945432183431,0.9895749484904979,0.046964317933439755,0.04644099364090749,0.9888569808833603,0.03784831915399229,0.03743603774836636,0.9891070088489665,0.06662120340130082,0.06587889498827271,0.9888577753758556,1.6913480122388582,1.6954892917078537,1.0024485081952552,1.5993626864634267,1.6020565945419127,1.0016843634663273,1.2888713397123668,1.2914161917384497,1.0019744810421891,2.2687741906050807,2.2725981914420146,1.0016854920391676
transformer_add97_f0.4_wd0.0_stablemax_ce_s3,38100.0,1.717788861318419,1.4360347102783553,0.8359785900440554,40.501509854853566,35.48763133084232,0.8762051453889095,56.226199885317925,50.24088576646517,0.8935493750055893,14.355550983483695,16.69530004660429,1.1629856677610297,0.07194846038114763,0.07111026246562097,0.9883500229040857,0.06668516568461082,0.06512327046761862,0.976578070985394,0.05125674325588551,0.051174811832527096,0.9984015483982392,0.09449885934969685,0.09228666101720229,0.9765902112711411,1.668629971461311,2.867140449719125,1.7182601887512619,1.5814772905139456,2.6179527331138583,1.6553843351510162,1.1808727164721744,2.0471614131532245,1.7336003996002756,2.240385672676865,3.70963666183269,1.655802707129585
