window,task,feature_set,n_features,n_folds,score_mean,score_std,n_compressed,increment_over_baselines,variant,n_runs,n_groups,target_range
tc,regression,topology_vector_permuted,656,5,-1.5786559858718643,1.4254081887755463,656,,holdout,88.0,19.0,2.3010299956639813
tc,regression,weight_norm,2,5,-0.4632034750388582,0.41715086458440587,0,,winsorised,91.0,20.0,2.4539295920577286
tc,regression,lid,2,5,-0.2722204580144485,0.6038964737372259,0,,winsorised,91.0,20.0,2.4539295920577286
tc,regression,fourier,28,5,0.13619350391358126,0.21474472940991024,0,,winsorised,91.0,20.0,2.4539295920577286
tc,regression,topology,12,5,-0.2960704394644176,0.47614627360628753,0,,winsorised,91.0,20.0,2.4539295920577286
tc,regression,baselines,32,5,0.1091963195948749,0.1571250166833655,0,,winsorised,91.0,20.0,2.4539295920577286
tc,regression,baselines+topology,44,5,0.06351318085824675,0.23159764230199828,0,-0.045683138736628146,winsorised,91.0,20.0,2.4539295920577286
tc,regression,topology_vector,656,5,-23.784569315902985,47.36516875919476,656,,winsorised,91.0,20.0,2.4539295920577286
tc,regression,baselines+topology_vector,688,5,-31.109897539386935,61.77146759896477,656,,winsorised,91.0,20.0,2.4539295920577286
tc,regression,topology_vector_permuted,656,5,-0.3833312201893925,0.8114023390648752,656,,winsorised,91.0,20.0,2.4539295920577286
w1000,classification,weight_norm,2,5,0.6589863547758285,0.12357954056274814,0,,full,,,
w1000,classification,lid,2,5,0.590197225088866,0.08967257248132227,0,,full,,,
w1000,classification,fourier,28,5,0.6133023735810113,0.16059440532180025,0,,full,,,
w1000,classification,topology,12,5,0.6532467606925813,0.14201360837093946,0,,full,,,
w1000,classification,baselines,32,5,0.7061048044948974,0.09546032970081036,0,,full,,,
w1000,classification,baselines+topology,44,5,0.7053107441807132,0.08445458392423091,0,-0.000794060314184275,full,,,
w1000,classification,topology_vector,656,5,0.6558880862286435,0.15978586638055603,656,,full,,,
w1000,classification,baselines+topology_vector,688,5,0.6845843366586399,0.14132805284385003,656,,full,,,
w1000,classification,topology_vector_permuted,656,5,0.4374137140236211,0.0906895745669971,656,,full,,,
w1000,regression,weight_norm,2,5,-1.023380918506594,1.2426948126026907,0,,full,86.0,19.0,2.1115069112355225
w1000,regression,lid,2,5,-0.7233930235085827,0.8730526015062853,0,,full,86.0,19.0,2.1115069112355225
w1000,regression,fourier,28,5,-2.146843823987263,2.667964537155439,0,,full,86.0,19.0,2.1115069112355225
w1000,regression,topology,12,5,-0.8853938921904299,1.044672079047749,0,,full,86.0,19.0,2.1115069112355225
w1000,regression,baselines,32,5,-1.8416898772967745,2.1166925162214985,0,,full,86.0,19.0,2.1115069112355225
w1000,regression,baselines+topology,44,5,-2.391858927980249,2.2249038666876615,0,-0.5501690506834747,full,86.0,19.0,2.1115069112355225
w1000,regression,topology_vector,656,5,-0.7969333344506293,0.8670183287190877,656,,full,86.0,19.0,2.1115069112355225
w1000,regression,baselines+topology_vector,688,5,-0.5269866445123277,0.8231816296259656,656,,full,86.0,19.0,2.1115069112355225
