run,t_g,n_collapses,n_snapshots,n_contaminated,h1_max_persistence__ratio__all,h1_total_persistence__ratio__all,h1_max_persistence_normalised__ratio__all,h1_total_persistence_normalised__ratio__all,h0_total_persistence__ratio__all,lid__ratio__all,h1_max_persistence__ratio__clean,h1_total_persistence__ratio__clean,h1_max_persistence_normalised__ratio__clean,h1_total_persistence_normalised__ratio__clean,h0_total_persistence__ratio__clean,lid__ratio__clean
transformer_add113_f0.3_wd0.1_recipe-rT-1layer-lr1e-3_s2,37500.0,0,120,0,0.10127173872676949,0.1959392524168047,0.8755287495814269,1.7288524246788335,0.10881919142023093,1.314138393343373,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-1layer_s0,11500.0,0,120,0,0.4775726795379922,2.0586138934939555,1.6311148552281463,8.196470288482537,0.2908165013267346,0.7782000821074923,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-1layer_s1,9500.0,2,120,1,0.3938377086926559,1.064901176076284,2.1059275394375523,5.411204423844108,0.17565947994948478,0.7624965253710426,0.39402280907484016,1.0651617285512123,2.106493180501977,5.41345749784324,0.17619643666255225,0.7636098193294658
transformer_add113_f0.3_wd0.1_recipe-rT-1layer_s2,10500.0,1,120,1,0.3400348802986169,0.75063716423445,1.5679744731651073,3.30282624978465,0.21723581866180738,0.8550850569892675,0.34021284398526536,0.7520305766389063,1.569007606446145,3.307638272436356,0.2165200488066727,0.8532515833440216
transformer_add113_f0.3_wd0.1_recipe-rT-eps1e-8_s0,13500.0,0,120,0,2.581512314198575,18.39303852840895,3.540045513943957,25.425332643057235,0.5808896575458853,0.6634748390770873,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-eps1e-8_s1,12500.0,1,120,0,0.7102502227843291,3.85893722977134,1.6081007722984728,9.084834111624968,0.3904569853625441,0.7756536073479,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-eps1e-8_s2,13500.0,3,120,3,2.4452103338484013,4.444268962573409,4.745286377933712,8.841410228485943,0.5175767431851803,0.26992831523675026,2.4451632319134915,4.446007239095165,4.740009650427739,8.803224476516423,0.5182716874018337,0.26938882863064917
transformer_add113_f0.3_wd0.1_recipe-rT-fullbatch_s0,14500.0,2,120,2,1.7806813923309681,7.521311226383708,3.2506529113677103,11.012891344853335,0.6280991150756705,0.4939150333481963,1.9546297200140932,3.5201805438891904,2.7237338914623908,4.872704952877132,0.6519210839907286,0.49385001755797475
transformer_add113_f0.3_wd0.1_recipe-rT-fullbatch_s1,12500.0,2,120,2,2.5656096477650543,10.810867587793844,5.178895775412206,38.78309051792434,0.4633085353245559,0.5063060970621125,2.5656096477650543,10.684993922221494,5.178895775412206,38.78309051792434,0.46119742197188635,0.505457161870061
transformer_add113_f0.3_wd0.1_recipe-rT-fullbatch_s2,13500.0,2,120,2,4.062771224512329,16.601485016846354,7.104249908001346,26.539788235174306,0.581085282515041,0.3772717661864351,4.062771224512329,16.601485016846354,7.092871982191211,26.396813145106677,0.581085282515041,0.3773954889419435
