window,task,feature_set,n_features,n_folds,score_mean,score_std,increment_over_baselines,variant,n_runs,n_groups,guarded,target_range
w500,classification,weight_norm,2,5,0.6856087386221545,0.1309049204670482,,full,128,31,False,
w500,classification,lid,2,5,0.5288218913296312,0.10110525072993246,,full,128,31,False,
w500,classification,fourier,28,5,0.687667398343353,0.12738135303322612,,full,128,31,False,
w500,classification,topology,12,5,0.7491278850721576,0.19818158683628123,,full,128,31,False,
w500,classification,baselines,32,5,0.7570333513522369,0.12020810091687764,,full,128,31,False,
w500,classification,baselines+topology,44,5,0.7573152652874015,0.1779374565735884,0.0002819139351645239,full,128,31,False,
w500,regression,weight_norm,2,5,-0.5742209896422983,0.6201081158941999,,full,83,21,False,2.4539295920577286
w500,regression,lid,2,5,0.022666652474161463,0.23190918542367706,,full,83,21,False,2.4539295920577286
w500,regression,fourier,28,5,-0.2700558999238651,0.738718063682483,,full,83,21,False,2.4539295920577286
w500,regression,topology,12,5,-0.25681690876026186,0.5634953923656707,,full,83,21,False,2.4539295920577286
w500,regression,baselines,32,5,-0.4178490668054403,0.8227246668885441,,full,83,21,False,2.4539295920577286
w500,regression,baselines+topology,44,5,-0.22365140499339092,0.6402181301190116,0.1941976618120494,full,83,21,False,2.4539295920577286
w500,regression,weight_norm,2,5,-0.27825884958274694,0.2897484134684111,,holdout,80,20,False,2.3010299956639813
w500,regression,lid,2,5,-0.1410541780384284,0.4191222714590212,,holdout,80,20,False,2.3010299956639813
w500,regression,fourier,28,5,-1.0521629310078602,1.5952381645762945,,holdout,80,20,False,2.3010299956639813
w500,regression,topology,12,5,-0.11689781827253631,0.3807048216452947,,holdout,80,20,False,2.3010299956639813
w500,regression,baselines,32,5,-0.7465988813530349,0.8445083824240021,,holdout,80,20,False,2.3010299956639813
w500,regression,baselines+topology,44,5,-0.5657315721156747,0.5715695381345968,0.18086730923736016,holdout,80,20,False,2.3010299956639813
w500,regression,weight_norm,2,5,-0.68702213677141,0.7493397860072586,,winsorised,83,21,False,2.4539295920577286
w500,regression,lid,2,5,0.009597341445475105,0.19921754165450753,,winsorised,83,21,False,2.4539295920577286
w500,regression,fourier,28,5,-0.13663891482749796,0.4025231328975289,,winsorised,83,21,False,2.4539295920577286
w500,regression,topology,12,5,-0.29174455104623537,0.6013937633575616,,winsorised,83,21,False,2.4539295920577286
w500,regression,baselines,32,5,-0.2570364801222379,0.4844840204885781,,winsorised,83,21,False,2.4539295920577286
w500,regression,baselines+topology,44,5,-0.24862910705222802,0.5530297176403673,0.008407373070009883,winsorised,83,21,False,2.4539295920577286
w1000,classification,weight_norm,2,5,0.634654767890062,0.09621421735752371,,full,121,30,True,
w1000,classification,lid,2,5,0.5368663063516005,0.09127363028346974,,full,121,30,True,
w1000,classification,fourier,28,5,0.4237095692978047,0.15936504104740026,,full,121,30,True,
w1000,classification,topology,12,5,0.6800620077090664,0.08837782801453475,,full,121,30,True,
w1000,classification,baselines,32,5,0.5282503770739065,0.14801556692858864,,full,121,30,True,
w1000,classification,baselines+topology,44,5,0.593911513323278,0.1290943250718017,0.06566113624937142,full,121,30,True,
w1000,regression,weight_norm,2,5,-2.422861173889812,4.483111430550787,,full,76,19,True,2.1115069112355225
w1000,regression,lid,2,5,-2.8752899872715028,5.574029228757541,,full,76,19,True,2.1115069112355225
w1000,regression,fourier,28,5,-2.619749133097955,3.3286900120423897,,full,76,19,True,2.1115069112355225
w1000,regression,topology,12,5,-3.6479551019688743,7.0699902043811935,,full,76,19,True,2.1115069112355225
w1000,regression,baselines,32,5,-3.1066018361892245,4.456866131432893,,full,76,19,True,2.1115069112355225
w1000,regression,baselines+topology,44,5,-2.8846799105672334,4.464048384644881,0.2219219256219911,full,76,19,True,2.1115069112355225
w1000,regression,weight_norm,2,5,-1.828488758417486,3.5247814672354436,,holdout,73,18,True,1.958607314841775
w1000,regression,lid,2,5,-2.1536366997084246,4.204697151100827,,holdout,73,18,True,1.958607314841775
w1000,regression,fourier,28,5,-3.745161616290088,4.016260540916894,,holdout,73,18,True,1.958607314841775
w1000,regression,topology,12,5,-3.3428498543792236,6.430805244552214,,holdout,73,18,True,1.958607314841775
w1000,regression,baselines,32,5,-3.9023392970796564,4.871726170273809,,holdout,73,18,True,1.958607314841775
w1000,regression,baselines+topology,44,5,-4.2481905209491435,6.454944544744376,-0.3458512238694871,holdout,73,18,True,1.958607314841775
w1000,regression,weight_norm,2,5,-2.7908055846386453,5.2281089931041995,,winsorised,76,19,True,2.1115069112355225
w1000,regression,lid,2,5,-2.9531667002766584,5.7286472724279545,,winsorised,76,19,True,2.1115069112355225
w1000,regression,fourier,28,5,-3.5412731689259735,4.338619336390004,,winsorised,76,19,True,2.1115069112355225
w1000,regression,topology,12,5,-3.6181156577204994,6.983534709494009,,winsorised,76,19,True,2.1115069112355225
w1000,regression,baselines,32,5,-3.5594725554497892,4.780576006257995,,winsorised,76,19,True,2.1115069112355225
w1000,regression,baselines+topology,44,5,-3.9398426415061394,4.325202014022699,-0.38037008605635014,winsorised,76,19,True,2.1115069112355225
w1000,classification,weight_norm,2,5,0.621424203209549,0.22145591847951465,,full,128,31,False,
w1000,classification,lid,2,5,0.5651503486384808,0.10090347562106619,,full,128,31,False,
w1000,classification,fourier,28,5,0.5846096450276017,0.1146146647015049,,full,128,31,False,
w1000,classification,topology,12,5,0.743848155246504,0.14149310947017948,,full,128,31,False,
w1000,classification,baselines,32,5,0.7160418475382356,0.1322428833008336,,full,128,31,False,
w1000,classification,baselines+topology,44,5,0.756714007240323,0.14645919990441125,0.040672159702087374,full,128,31,False,
w1000,regression,weight_norm,2,5,-0.7220224403450807,0.8072681581582771,,full,83,21,False,2.4539295920577286
w1000,regression,lid,2,5,-0.09703237808020052,0.3008621257149894,,full,83,21,False,2.4539295920577286
w1000,regression,fourier,28,5,0.1754276634594647,0.4128300293775761,,full,83,21,False,2.4539295920577286
w1000,regression,topology,12,5,-0.18372337347625287,0.6561684699841229,,full,83,21,False,2.4539295920577286
w1000,regression,baselines,32,5,-0.010437280994332387,0.4930778117416509,,full,83,21,False,2.4539295920577286
w1000,regression,baselines+topology,44,5,-0.07105433147680935,0.5058828877555706,-0.06061705048247697,full,83,21,False,2.4539295920577286
w1000,regression,weight_norm,2,5,-0.24048332487778418,0.28989767697467567,,holdout,80,20,False,2.3010299956639813
w1000,regression,lid,2,5,-0.2238388665548449,0.3613598399094115,,holdout,80,20,False,2.3010299956639813
w1000,regression,fourier,28,5,0.07826215380944719,0.536379589392949,,holdout,80,20,False,2.3010299956639813
w1000,regression,topology,12,5,-0.07230649565933607,0.3750194400925883,,holdout,80,20,False,2.3010299956639813
w1000,regression,baselines,32,5,-0.0724271973243408,0.6065817358781641,,holdout,80,20,False,2.3010299956639813
w1000,regression,baselines+topology,44,5,-0.17343022244240114,0.6611737360310964,-0.10100302511806034,holdout,80,20,False,2.3010299956639813
w1000,regression,weight_norm,2,5,-0.8426565297104102,0.9604907557789484,,winsorised,83,21,False,2.4539295920577286
w1000,regression,lid,2,5,-0.13771980232638875,0.2507479254330634,,winsorised,83,21,False,2.4539295920577286
w1000,regression,fourier,28,5,-0.05165080904138906,0.394261536834098,,winsorised,83,21,False,2.4539295920577286
w1000,regression,topology,12,5,-0.3156270543091764,0.6162406041187051,,winsorised,83,21,False,2.4539295920577286
w1000,regression,baselines,32,5,-0.16691216209534404,0.43415817126030687,,winsorised,83,21,False,2.4539295920577286
w1000,regression,baselines+topology,44,5,-0.18068407454495003,0.5317608235128222,-0.013771912449605989,winsorised,83,21,False,2.4539295920577286
w2000,classification,weight_norm,2,5,0.5406681590014923,0.2436472448648281,,full,119,29,True,
w2000,classification,lid,2,5,0.5323380816714149,0.16488955132682445,,full,119,29,True,
w2000,classification,fourier,28,5,0.4471116537783205,0.13268762876616227,,full,119,29,True,
w2000,classification,topology,12,5,0.7203899063899064,0.15196164773365697,,full,119,29,True,
w2000,classification,baselines,32,5,0.4717612264278931,0.09683699173793028,,full,119,29,True,
w2000,classification,baselines+topology,44,5,0.5820351037851037,0.23449447974982263,0.11027387735721061,full,119,29,True,
w2000,regression,weight_norm,2,5,-2.999249717306289,5.16180486235794,,full,74,18,True,1.8306803016598283
w2000,regression,lid,2,5,-2.7487163405748793,5.334130697934364,,full,74,18,True,1.8306803016598283
w2000,regression,fourier,28,5,-3.892616172880018,4.645731316518155,,full,74,18,True,1.8306803016598283
w2000,regression,topology,12,5,-4.050475657842002,7.48137158436225,,full,74,18,True,1.8306803016598283
w2000,regression,baselines,32,5,-4.46654394441099,4.933551671918069,,full,74,18,True,1.8306803016598283
w2000,regression,baselines+topology,44,5,-5.055029819046967,5.587566682109691,-0.5884858746359773,full,74,18,True,1.8306803016598283
w2000,regression,weight_norm,2,5,-1.5507021672085457,1.989920760704343,,holdout,71,17,True,1.677780705266081
w2000,regression,lid,2,5,-1.3938450026193592,1.8537567367773493,,holdout,71,17,True,1.677780705266081
w2000,regression,fourier,28,5,-5.59077941456351,9.538865802335303,,holdout,71,17,True,1.677780705266081
w2000,regression,topology,12,5,-2.034626122880666,2.371316550009828,,holdout,71,17,True,1.677780705266081
w2000,regression,baselines,32,5,-6.916317254742067,12.010266842726814,,holdout,71,17,True,1.677780705266081
w2000,regression,baselines+topology,44,5,-7.526821363879748,12.809111896625053,-0.6105041091376808,holdout,71,17,True,1.677780705266081
w2000,regression,weight_norm,2,5,-3.265681799504602,5.708363585223,,winsorised,74,18,True,1.8306803016598283
w2000,regression,lid,2,5,-2.939574204040008,5.673624732638657,,winsorised,74,18,True,1.8306803016598283
w2000,regression,fourier,28,5,-3.8801240448279537,4.593625188663332,,winsorised,74,18,True,1.8306803016598283
w2000,regression,topology,12,5,-4.040625870218041,7.398187905580649,,winsorised,74,18,True,1.8306803016598283
w2000,regression,baselines,32,5,-4.514291910313714,5.020918703237142,,winsorised,74,18,True,1.8306803016598283
w2000,regression,baselines+topology,44,5,-4.983801384974194,5.568615768936258,-0.4695094746604793,winsorised,74,18,True,1.8306803016598283
w2000,classification,weight_norm,2,5,0.5464806897417837,0.23303188252341248,,full,128,31,False,
w2000,classification,lid,2,5,0.5246056590277437,0.11292251905225754,,full,128,31,False,
w2000,classification,fourier,28,5,0.6346345711773989,0.08817103402888188,,full,128,31,False,
w2000,classification,topology,12,5,0.7454396612446147,0.1304972454675813,,full,128,31,False,
w2000,classification,baselines,32,5,0.7635212759567765,0.13855748877045684,,full,128,31,False,
w2000,classification,baselines+topology,44,5,0.7111716109445727,0.10876383400854381,-0.05234966501220384,full,128,31,False,
w2000,regression,weight_norm,2,5,-0.3923717472201811,0.6755314898834084,,full,83,21,False,2.4539295920577286
w2000,regression,lid,2,5,-0.1865647265415745,0.2694226126173451,,full,83,21,False,2.4539295920577286
w2000,regression,fourier,28,5,-0.057469559449905463,0.5276563203902965,,full,83,21,False,2.4539295920577286
w2000,regression,topology,12,5,-0.17042627423656292,0.6654911488677198,,full,83,21,False,2.4539295920577286
w2000,regression,baselines,32,5,-0.15717118034109473,0.44643493375844673,,full,83,21,False,2.4539295920577286
w2000,regression,baselines+topology,44,5,-0.15732520033696074,0.5252213398767989,-0.000154019995866006,full,83,21,False,2.4539295920577286
w2000,regression,weight_norm,2,5,-0.24003630121431058,0.30092362446037313,,holdout,80,20,False,2.3010299956639813
