run,kind,landmarks,n_snapshots,t_g,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,t_top,lead_lag_steps,scale_collapse,condition,is_null
transformer_add97_f0.3_wd1.0_softmax_ce_s1,hidden,97,126,28600.0,0.0730101952405462,0.0511877481979228,0.7011041133265683,0.4607789516448974,0.3520450592041015,0.7640215724858187,,,0.350606401976611,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s2,hidden,97,126,30000.0,0.0818124212950189,0.0605809237414098,0.7404856473194037,0.5196323394775391,0.4359614849090576,0.8389806634194328,629.0,29371.0,0.3054271329395063,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s3,hidden,97,126,34700.0,0.07549429975146,0.0725663531753233,0.9612163224802934,0.5083894729614258,0.4818246364593506,0.9477470759822544,1713.0,32987.0,0.400228407665805,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s4,hidden,97,126,25700.0,0.0725007316729615,0.0438345089297333,0.6046078145454217,0.488450288772583,0.3407917022705078,0.6976998685513658,40000.0,-14300.0,0.3265032954611089,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s0,hidden,300,126,27600.0,0.0977464863220995,0.0934446083868066,0.9559894365806964,0.5723977088928223,0.5851936340332031,1.0223549552026192,1115.0,26485.0,0.3400802954719217,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s1,hidden,300,126,28600.0,0.1029966504685919,0.0852802406340601,0.8279904273204078,0.5961441993713379,0.5499615669250488,0.9225311048987966,,,0.2833941573551186,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s2,hidden,300,126,30000.0,0.0997255152865283,0.0832303938723862,0.8345947737973689,0.5987591743469238,0.5731081962585449,0.9571597744345932,1595.0,28405.0,0.2934636350154873,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s3,hidden,300,126,34700.0,0.097013158738439,0.1129179900127489,1.16394509240949,0.5951395034790039,0.7006525993347168,1.1772913665433324,1595.0,33105.0,0.3564718282264548,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s4,hidden,300,126,25700.0,0.0980352232038228,0.0776207166721445,0.7917635532972176,0.6081583499908447,0.5723576545715332,0.9411326089334292,34663.0,-8963.0,0.272961376607897,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s0,logits,97,126,27600.0,0.0884141589748676,0.0663999693165846,0.7510105857078768,2.682694435119629,1.8828182220458984,0.7018384939401189,,,0.0519609533843048,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s1,logits,97,126,28600.0,0.0843803011252959,0.05926808988585,0.7023924908473977,2.833425521850586,2.0949935913085938,0.739385445339074,,,0.0329811570768015,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s2,logits,97,126,30000.0,0.0833291022101955,0.0747258757659938,0.8967560406147145,2.782291412353516,2.330862045288086,0.8377490707619409,355.0,29645.0,0.0357815559943039,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s3,logits,97,126,34700.0,0.0851231547018782,0.0757742263367934,0.8901717353189394,2.756524085998535,2.322789192199707,0.8426515131857771,22558.0,12142.0,0.0452536443391109,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s4,logits,97,126,25700.0,0.0880615582339414,0.057370477429655,0.6514815156602901,3.0793895721435547,2.326484680175781,0.7555019024618965,,,0.0293322127406256,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s0,logits,300,126,27600.0,0.1129953203034015,0.0925185857300837,0.818782454721699,3.062061309814453,2.5452232360839844,0.831212369238359,,,0.0398733641105621,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s1,logits,300,126,28600.0,0.1107267146034808,0.0889146222821067,0.8030096675451401,3.130745887756348,2.716255187988281,0.8676064060679445,,,0.027212566060469,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s2,logits,300,126,30000.0,0.1146827457755575,0.0999082244880901,0.8711704957223272,3.4000606536865234,3.0055103302001958,0.8839578573227698,1841.0,28159.0,0.0300498699081006,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s3,logits,300,126,34700.0,0.1087459982940734,0.1231144136777078,1.1321282218107829,3.327841758728028,3.5593156814575195,1.0695567696758417,,,0.0374527300575003,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s4,logits,300,126,25700.0,0.1104841454778642,0.084152242167888,0.7616680366573331,3.633893013000488,3.208761215209961,0.8830092695988597,37236.0,-11536.0,0.0262385507663368,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_permuted_s0,embedding,0,127,,0.0533499683381039,0.0490972936654731,0.9202872128118306,0.006096675992012,0.0052719190716743,0.8647202309228359,4791.0,,143.93560846859333,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s1,embedding,0,127,,0.0583911201583889,0.0615526492733798,1.0541440052257107,0.0072124674916267,0.0074806734919548,1.037186441483367,18264.0,,136.8182880167192,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s2,embedding,0,127,,0.047808910792224,0.0467094813490597,0.9770036709695727,0.0051684416830539,0.005918450653553,1.1451131726915156,16955.0,,125.08456475558069,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s3,embedding,0,127,,0.0522850348545767,0.0407055020602981,0.7785306478902537,0.0060583613812923,0.0049973204731941,0.8248633844500236,,,104.227193169664,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s4,embedding,0,127,,0.0446282778631994,0.0571241020331252,1.2799979019631846,0.0050726942718029,0.0078235939145088,1.542295572196629,38410.0,,91.89809875971078,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s0,hidden,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s1,hidden,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s2,hidden,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s3,hidden,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s4,hidden,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s0,hidden,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s1,hidden,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s2,hidden,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s3,hidden,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s4,hidden,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s0,logits,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s1,logits,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s2,logits,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s3,logits,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s4,logits,97,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s0,logits,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s1,logits,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s2,logits,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s3,logits,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
transformer_add97_permuted_s4,logits,300,127,,,,,,,,,,,transformer add97 f0.3 wd1 lr0.001 PERM,True
