window,stride,alpha,repeat,ph_dim,slope,r2,n_sizes
200,20,1.15,7,1.1402558743821947,0.12300386039071026,0.8017554356779584,8.0
200,20,1.15,8,1.426746051761266,0.29910442102465506,0.9926037115333433,8.0
200,20,1.15,9,1.3233175795093362,0.2443234976363096,0.9872436866947524,8.0
200,20,1.2,0,1.4839229990625382,0.326110586174791,0.9895268928019656,8.0
200,20,1.2,1,1.62309812727212,0.383894304849786,0.9978632602162335,8.0
200,20,1.2,2,1.6590489567682096,0.3972450325106875,0.9982893920749975,8.0
200,20,1.2,3,1.3671093788863506,0.2685296323439742,0.9698126253002517,8.0
200,20,1.2,4,1.3418691659810316,0.25477086339568233,0.9912173590064511,8.0
200,20,1.2,5,1.5544076029394875,0.35666809779562714,0.9909708397878534,8.0
200,20,1.2,6,1.3577118908182155,0.2634667142840172,0.9975198173601927,8.0
200,20,1.2,7,1.1491461633960616,0.12978867975792674,0.820701234435975,8.0
200,20,1.2,8,1.4768251125280225,0.3228717527099708,0.9940381182296238,8.0
200,20,1.2,9,1.365588364675691,0.2677149089231683,0.9881322729262357,8.0
200,20,1.25,0,1.5300484454153425,0.34642592331215827,0.9911816672746149,8.0
200,20,1.25,1,1.6682952702812426,0.40058572495298195,0.9981671787271948,8.0
200,20,1.25,2,1.7027125795470557,0.41270181943096146,0.9986377775764032,8.0
200,20,1.25,3,1.405332561596886,0.28842465667792155,0.9767110282912577,8.0
200,20,1.25,4,1.3837483944580855,0.2773252680870297,0.9913460214857476,8.0
200,20,1.25,5,1.607785670143348,0.37802655007440056,0.9931649789782476,8.0
200,20,1.25,6,1.402740990633405,0.2871100176886882,0.9981799392019841,8.0
200,20,1.25,7,1.1593854904034022,0.13747411169338059,0.8407430624948569,8.0
200,20,1.25,8,1.5284472744652413,0.3457412521149148,0.9951520717562693,8.0
200,20,1.25,9,1.4092790883901962,0.2904173429960642,0.9889342110207711,8.0
200,20,1.3,0,1.5779932973414468,0.3662837467784126,0.9927394584556237,8.0
200,20,1.3,1,1.713567501128081,0.4164221722566069,0.9984049318477164,8.0
200,20,1.3,2,1.7470527023099898,0.4276074221013602,0.9988882071118562,8.0
200,20,1.3,3,1.4458499296849037,0.3083652878013892,0.9818409499936271,8.0
200,20,1.3,4,1.427689847593587,0.2995677585817892,0.991542262088543,8.0
200,20,1.3,5,1.6615828951399778,0.39816424270800144,0.9948129866078886,8.0
200,20,1.3,6,1.4499747511174692,0.310332818396101,0.9986018556897811,8.0
200,20,1.3,7,1.1712053918735836,0.14617879413934853,0.8612304585410349,8.0
200,20,1.3,8,1.581278302218436,0.3676002518993262,0.9959828135722525,8.0
200,20,1.3,9,1.4545783366473743,0.31251554157964573,0.9897291815337154,8.0
200,20,1.5,0,1.7830001335461867,0.4391475462140811,0.997115131607139,8.0
200,20,1.5,1,1.8920710863872727,0.4714786314348244,0.9989886298829657,8.0
200,20,1.5,2,1.9319721132320904,0.48239418511737664,0.9993963511357814,8.0
200,20,1.5,3,1.6304813431202707,0.3866841811962788,0.992445874116957,8.0
200,20,1.5,4,1.6222608439090633,0.38357631958226845,0.9933431303230806,8.0
200,20,1.5,5,1.8740867137206894,0.46640676086184657,0.9982857398639631,8.0
200,20,1.5,6,1.658921016781774,0.3971985465950926,0.9994517614766225,8.0
200,20,1.5,7,1.2397121620637785,0.19336114414230152,0.9345139483405547,8.0
200,20,1.5,8,1.7994852049150738,0.4442855116181993,0.9977215547237056,8.0
