run,condition,n_draws,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,8,58000,1.155352282995816,0.13446312893673376,0.9844632286085604,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,8,57000,1.1686687046980995,0.1443255081787027,0.9866343521206226,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,8,56000,1.1594513226539216,0.13752308487513396,0.9850109868141478,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,1,50000,1.1541005060586593,0.1335243380014833,0.8971146414092724,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,1,49000,1.1503552924914615,0.13070335180170217,0.9300103238873464,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,1,48000,1.1521695411378516,0.132072178359769,0.8914859873841072,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,1,47000,1.1219684357258617,0.10870932892773731,0.9350206301923151,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,1,46000,1.131943495911451,0.11656367688672373,0.9067288614490234,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,4,50000,1.1670178572530037,0.14311508278557136,0.9207389144344369,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,4,49000,1.1648473146507938,0.1415183883565143,0.9411718665133978,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,4,48000,1.153205648705663,0.1328519756017656,0.9336356394443022,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,4,47000,1.1403425318115896,0.12307050548104731,0.9375811555940298,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,4,46000,1.1454895384929253,0.12701079634855506,0.9532324065516757,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,8,50000,1.1473050073861637,0.12839219426206447,0.9523511401918119,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,8,49000,1.1382765733324065,0.12147888885000017,0.9351734590977413,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,8,48000,1.1321167942252433,0.11669890853942912,0.9323999665879414,8.0
transformer_add113_f0.3_wd1.0_dense_s0,transformer_add113_f0.3_wd1.0_dense,8,47000,1.1277556968885967,0.11328313148057356,0.9678372104888595,8.0
