run,t_g,grokked,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,dominance__baseline,dominance__plateau,share__baseline,share__plateau,n_bars__baseline,n_bars__plateau,dominance__ratio,share__ratio
transformer_add97_f0.3_wd0.0_stablemax_ce_s0,,False,transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,1.5361069603137614,1.4322248401401834,0.04080635361232734,0.04008938259188807,85.0,82.0,0.932373120585067,0.9824299169866854
transformer_add97_f0.3_wd0.0_stablemax_ce_s1,,False,transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,1.8730981278369796,2.0664304778277165,0.036456426736323794,0.04173739676986811,107.0,104.5,1.1032152812057923,1.1448570391097206
transformer_add97_f0.3_wd0.0_stablemax_ce_s2,,False,transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2.2547260327256695,2.244917484044417,0.0450052631922155,0.046879923576252605,101.0,100.5,0.9956497824840408,1.0416542477716555
transformer_add97_f0.3_wd0.0_stablemax_ce_s3,,False,transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2.0267316919558924,2.3035838331452245,0.03472653426266592,0.03833096172198536,121.0,122.0,1.1366002921295204,1.1037946209102276
transformer_add97_f0.3_wd0.0_stablemax_ce_s4,,False,transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,1.4153754875554994,1.4049526609882232,0.019530108590392743,0.01948031589217298,144.0,147.0,0.992635998956519,0.9974504648558761
transformer_add97_f0.3_wd0.1_softmax_ce_s0,,False,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,1.665409437600873,1.8102760171934449,0.02697525386410455,0.03553949310011282,140.0,107.0,1.0869855642233308,1.317485028283813
transformer_add97_f0.3_wd0.1_softmax_ce_s1,142200.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,1.6709597643925986,1.9438788837936525,0.02185771082379412,0.01926451104868727,153.0,192.0,1.1633307547056713,0.8813599559436063
transformer_add97_f0.3_wd0.1_softmax_ce_s2,137000.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,1.6281666158467643,1.5658819579827652,0.022770040642952256,0.018525620390046935,157.0,180.0,0.9617455257602082,0.8135962812073835
transformer_add97_f0.3_wd0.1_softmax_ce_s3,,False,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,1.5548865101027998,1.7404582868160707,0.025774445534067728,0.023841975432609495,133.5,151.0,1.119347473598573,0.9250237954137961
transformer_add97_f0.3_wd0.1_softmax_ce_s4,140100.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,1.6852819557598595,1.640137054718279,0.029632146475976347,0.0149691426591546,139.0,220.0,0.9732122563305879,0.5051656541752898
transformer_add97_f0.3_wd0.3_softmax_ce_s0,55400.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,1.5865458293920596,1.6545691615194276,0.030308694055088212,0.028300875215190882,114.0,130.5,1.0428751132600018,0.9337543598464527
transformer_add97_f0.3_wd0.3_softmax_ce_s1,41200.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,1.68498953027061,1.573553163387274,0.02311021718033076,0.013787535695116775,149.0,235.0,0.9338652467084236,0.5965991400051155
transformer_add97_f0.3_wd0.3_softmax_ce_s2,43800.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,1.6942231736319096,1.7194418945693706,0.033431995863888335,0.016607305439165655,114.0,236.5,1.0148851233591614,0.4967488482224922
transformer_add97_f0.3_wd0.3_softmax_ce_s3,56500.0,True,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,1.7252379022853037,1.5025732774941454,0.02739320696944254,0.01818275823547725,130.5,165.0,0.8709368577538148,0.6637688772899186
