run,model,operation,modulus,weight_decay,circularity,h1_max_persistence__ratio,h1_total_persistence__ratio,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__ratio,h0_total_persistence__ratio,lid__ratio
transformer_add97_f0.5_wd1.0_softmax_ce_s0,transformer,add,97,1.0,0.2761265699898355,0.04127596235653978,0.07602072710647514,1.0048793765690027,1.7223799361408512,0.04069980694969914,1.319084986898603
transformer_add97_f0.5_wd1.0_softmax_ce_s1,transformer,add,97,1.0,0.3385984368254454,0.08695510794436113,0.16915775873769712,1.3358796163401696,2.3221398121243446,0.062378559474141775,0.8472186612459224
transformer_add97_f0.5_wd1.0_softmax_ce_s2,transformer,add,97,1.0,0.3944003011245671,0.06792040926417871,0.2486223734998625,1.5289429601824684,4.863997423499982,0.03401860745474048,1.067005928007534
transformer_add97_f0.5_wd1.0_softmax_ce_s3,transformer,add,97,1.0,0.3139450891980139,0.07991027723671221,0.14972637384330867,1.575463574237433,2.548961501934315,0.04885299742139116,0.9493500384298796
transformer_add97_f0.5_wd1.0_softmax_ce_s4,transformer,add,97,1.0,0.3236254899966057,0.09370291677013835,0.1497346598473766,1.3378369108325037,1.8697659982102182,0.06515215984886863,0.8401684884756162
transformer_div97_f0.5_wd1.0_softmax_ce_s0,transformer,div,97,1.0,0.3840594755081475,0.4645022760933006,1.4079642768484955,0.644755415452993,2.5274634620974794,0.6012060852537812,2.7367025462284498
transformer_div97_f0.5_wd1.0_softmax_ce_s1,transformer,div,97,1.0,0.4927746890747194,1.5918875186265402,7.588401589850817,1.0715307232957645,4.392445497933839,0.6799157134509701,1.0640283567917936
transformer_div97_f0.5_wd1.0_softmax_ce_s2,transformer,div,97,1.0,0.6784367296519687,1.1259818894838167,1.7415544556750184,1.2912571450257917,2.1077478512691807,0.537127421462143,0.7576764722550057
transformer_div97_f0.5_wd1.0_softmax_ce_s3,transformer,div,97,1.0,0.443905301288198,0.5193891110087894,1.2393206618645116,1.175026501972885,3.3618693097042938,0.27513663509214065,1.7114359083021606
transformer_div97_f0.5_wd1.0_softmax_ce_s4,transformer,div,97,1.0,0.6697044476561529,1.5981955553735991,5.804377142368915,1.6040381121871994,5.28612779263938,0.5737041307461339,0.7940098930089057
transformer_mul97_f0.5_wd1.0_softmax_ce_s0,transformer,mul,97,1.0,0.4126620420530678,0.056792486132192316,0.12142037858802567,0.9857234973966229,2.0774901585273264,0.02056304572881829,0.5026995801579214
transformer_mul97_f0.5_wd1.0_softmax_ce_s1,transformer,mul,97,1.0,0.4697248774961534,0.0781052802857626,0.14571918025143166,0.8526441210586797,1.3199098148532737,0.033519977701132235,0.7425169340167673
transformer_mul97_f0.5_wd1.0_softmax_ce_s2,transformer,mul,97,1.0,0.3495876751545864,0.06176182230224022,0.11906298245701503,0.5377859745995553,1.1246700699139756,0.036095403134461135,0.8356635588165574
transformer_mul97_f0.5_wd1.0_softmax_ce_s3,transformer,mul,97,1.0,0.4671438241402619,0.053372221671134,0.1351681449106089,0.9178202884132017,1.822292845601252,0.025647593650193267,0.783918929265174
transformer_mul97_f0.5_wd1.0_softmax_ce_s4,transformer,mul,97,1.0,0.391833384235783,0.09513099109737923,0.224488239553342,0.8840567697320144,1.8217283196589424,0.03923955319975379,0.7107602633230625
transformer_sub97_f0.4_wd1.0_softmax_ce_s0,transformer,sub,97,1.0,0.316376323898306,0.8095567731302085,3.2010279088051687,1.5708598811231917,5.835858419194436,0.6232865460042978,1.6017848204638123
transformer_sub97_f0.4_wd1.0_softmax_ce_s1,transformer,sub,97,1.0,0.618656898900515,1.6584325413070935,9.433830051396248,2.2306926891865246,10.239150757385683,0.7971339520318285,0.8343832269505996
transformer_sub97_f0.5_wd1.0_softmax_ce_s0,transformer,sub,97,1.0,0.7082107313426468,0.9301907314862858,4.172931849276023,1.8062143243642526,8.71385967203903,0.6143411056230991,2.4766859607593656
transformer_sub97_f0.5_wd1.0_softmax_ce_s1,transformer,sub,97,1.0,0.6386077281201988,1.1706460562522005,3.113935437659343,2.1292217077038282,5.946993236241444,0.6010061453783176,1.1807503165144042
