model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n_runs,n_grokked,t_g_values,t_g_median,h1_max_persistence__lo,h1_max_persistence__med,h1_max_persistence__hi,h1_total_persistence__lo,h1_total_persistence__med,h1_total_persistence__hi,h1_max_persistence_normalised__lo,h1_max_persistence_normalised__med,h1_max_persistence_normalised__hi,h1_total_persistence_normalised__lo,h1_total_persistence_normalised__med,h1_total_persistence_normalised__hi,h0_total_persistence__lo,h0_total_persistence__med,h0_total_persistence__hi,lid__lo,lid__med,lid__hi,circularity,scale_collapse,test_acc_final,h1_max_persistence__verdict,h1_total_persistence__verdict,h1_max_persistence_normalised__verdict,h1_total_persistence_normalised__verdict,h0_total_persistence__verdict,lid__verdict
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,5,4900 6100 8800 9400 11600,8800.0,0.21034431851503343,0.664789989321529,0.9233354872167703,0.416623380051536,1.4001713363970014,2.261936233670296,0.8323371464004539,1.2603312988499946,1.375050586739729,1.7552189017013347,2.610022689097712,3.046014288484369,0.15139128014963296,0.7241195704694432,0.8700485083371804,0.8119094063632909,1.2319185403687307,2.2225520520654953,0.3030454502706953,162.4236122312,1.0,inside,inside,inside,inside,inside,inside
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,3,3800 4900 8800,4900.0,0.9624148054695244,0.9884498889954058,1.5164937437523698,0.8016340089593035,0.9683052786810121,1.3227358832548475,0.9886170888740143,0.9910888861383316,1.522648846467533,0.8017339087263065,0.9722354092697271,1.33963400760315,0.9288446789465632,0.9987525461196205,1.0038381239013912,0.7457024145369554,0.9791897108669667,1.0613282040599121,0.1693967085713115,0.9811715023501186,0.961736023426056,inside,inside,inside,inside,inside,inside
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,5,1,38100,38100.0,1.1050806718596529,1.1050806718596529,1.1050806718596529,1.9291257204561951,1.9291257204561951,1.9291257204561951,0.9883500229040859,0.9883500229040859,0.9883500229040859,1.718260188751262,1.718260188751262,1.718260188751262,1.1449475722575033,1.1449475722575033,1.1449475722575033,0.9203532319374531,0.9203532319374531,0.9203532319374531,0.3966817508890788,0.6927932739476723,0.0108060231432318,inside,inside,inside,inside,inside,inside
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,2400 2900 3000 3500 3600,3000.0,0.04127596235653978,0.07991027723671221,0.09370291677013835,0.07602072710647514,0.1497346598473766,0.2486223734998625,1.0048793765690027,1.3378369108325037,1.575463574237433,1.7223799361408512,2.3221398121243446,4.863997423499982,0.03401860745474048,0.04885299742139116,0.06515215984886863,0.8401684884756162,0.9493500384298796,1.319084986898603,0.3236254899966057,180.38123090201762,1.0,below,below,inside,inside,below,inside
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,16800 19100 21500 21800 27500,21500.0,0.6797293826516251,0.8646777043721712,1.4016210001346991,1.1991239058694438,2.071164713954625,3.0232614155526885,0.9646976278673893,1.2007771288142552,1.5713693415826302,1.5963353250021957,2.6580073506262507,4.142316297128949,0.7032247823553255,0.7632109783036839,0.8604866729747503,0.8648346877569743,1.1736665590228426,1.279034190442059,0.3295196630070622,167.72304409478613,1.0,inside,inside,inside,inside,inside,inside
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,5,10500 11500 12000 13000 14000,12000.0,0.7001055366839773,1.4026492717446335,2.041051951171681,1.9480982962905895,6.863249401734347,15.318864946567928,2.197848441308226,2.899287092566698,5.768599048467296,6.478398286980889,14.808992637587519,37.6186270236315,0.2898449501933095,0.3579908900749746,0.48574269313191204,0.4573352070046939,0.5439257389740173,0.7494934778345208,0.7592647302298183,25.88883639240269,1.0,inside,inside,above,above,below,inside
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,6800 9600 9800 9800 10500,9800.0,0.7722425139392878,0.8828872426574955,1.086603602896041,1.4135293243965976,2.155327921674493,3.597159101658824,1.1766256140379059,1.386530542843953,1.52896512006388,2.270890056793438,2.5207648393621627,5.558949510149526,0.5480653305229779,0.6557174976969783,0.8273363316975849,0.845858675504348,1.0453785655329542,1.1706355870253813,0.3399502150151722,159.09649307853462,1.0,inside,inside,inside,above,inside,inside
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,0,,,0.7826319386058858,0.9400765577479177,1.0975211768899495,0.7440634945879291,0.7757629828707127,0.8074624711534961,0.7764894562192239,0.9317480992259176,1.0870067422326113,0.7458947690863489,0.8756134701224179,1.0053321711584868,0.9432349245268943,0.9851639919651398,1.0270930594033854,0.977401197092137,1.0141140209081059,1.0508268447240747,,104.30516748041944,0.020254629664123,inside,inside,inside,inside,inside,inside
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,2,86600 100000,93300.0,1.0274522478559405,1.1423377587993082,1.2572232697426762,2.288372496895532,3.4084874885610263,4.52860248022652,0.9861564710607793,1.3805089564500093,1.7748614418392394,1.5916111696380046,4.748371959816178,7.905132749994352,0.7663442240888838,1.0433648884527726,1.3203855528166617,1.1252533581571202,1.2976518053694661,1.470050252581812,,98.51554010704587,0.976458340883255,inside,inside,inside,inside,inside,inside
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,7,7,13900 15900 17100 36300 39500 83200 89700,36300.0,0.5355746995636349,1.4216988018725683,1.7242241659677207,1.009402802875303,7.8849435055828945,20.668659212755752,1.3616604669616867,2.8930532977342396,4.345062248407954,2.5443719476911517,16.872013838584586,47.877404454827335,0.5364588566511193,0.584568931892603,0.6542773432120564,1.0840386160157545,1.19037667286383,1.745052257382178,,156.55228658447885,1.0,inside,inside,above,above,below,inside
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,6000 8000 8100 8200 9100,8100.0,0.4645022760933006,1.1259818894838167,1.5981955553735991,1.2393206618645116,1.7415544556750184,7.588401589850817,0.644755415452993,1.175026501972885,1.6040381121871994,2.1077478512691807,3.3618693097042938,5.28612779263938,0.27513663509214065,0.5737041307461339,0.6799157134509701,0.7576764722550057,1.0640283567917936,2.7367025462284498,0.4927746890747194,47.622983812724485,1.0,inside,inside,inside,inside,below,inside
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,5,1900 2100 2600 2700 2800,2600.0,0.053372221671134,0.06176182230224022,0.09513099109737923,0.11906298245701503,0.1351681449106089,0.224488239553342,0.5377859745995553,0.8840567697320144,0.9857234973966229,1.1246700699139756,1.8217283196589424,2.0774901585273264,0.02056304572881829,0.033519977701132235,0.03923955319975379,0.5026995801579214,0.7425169340167673,0.8356635588165574,0.4126620420530678,64.64235178378833,1.0,below,below,inside,inside,below,inside
transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,0.3,2,0,,,0.7789644067809072,0.8033583249138279,0.8277522430467484,0.3973614671578934,0.4846318713208764,0.5719022754838594,0.8310397185413277,0.8637201697046084,0.8964006208678891,0.4513591555815271,0.5189031576303614,0.5864471596791958,0.8771984844050349,0.9226010905983146,0.9680036967915943,0.6799856179720456,0.7455988055459908,0.8112119931199361,0.12309383602839916,88.106923462791,0.02093517500907175,inside,inside,inside,inside,inside,inside
transformer,poly,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,0,,,0.8595036831736275,1.0150248574294556,1.1683125853637442,0.5957309235965373,1.1655588983126954,1.513538945970809,0.9412154702099187,0.9934483014612625,1.1440294420947719,0.697619916015916,1.0680584470850156,1.2627471341959489,0.8874733253538212,1.043527540822073,1.2021928669143314,0.7709895483816332,0.9695676088684931,1.1320216945227781,0.1257146858819416,105.82444150931362,0.020616365596652,inside,inside,inside,inside,inside,inside
transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,0.3,2,0,,,1.1573673595332008,1.2060506677561258,1.2547339759790508,0.7517308871515439,1.11622904212981,1.480727197108076,1.2750216050876295,1.2957126696247978,1.3164037341619659,0.8654022506920015,1.153866779343197,1.4423313079943922,0.9449445310401997,0.9846820092044566,1.0244194873687136,0.9763554624239376,1.179067660717199,1.3817798590104606,0.12445550780237599,94.39613347402963,0.02373361680656665,inside,inside,inside,inside,inside,inside
transformer,poly,97,0.7,False,softmax_ce,adamw,0.001,1.0,2,0,,,0.5373412428170623,0.8356804708350939,1.1340196988531255,0.5634393011524507,1.5818097177503467,2.6001801343482427,0.7507386378190154,0.8769477619529813,1.003156886086947,0.8085579658969636,1.481021136871638,2.153484307846312,0.7053122806836409,0.9256954104894359,1.146078540295231,0.8298298031106843,1.0333226590166849,1.2368155149226852,0.12233411037963571,122.74275219163795,0.0233793836086988,inside,inside,inside,inside,inside,inside
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,0,,,0.7972344494655003,0.8144789280899892,1.6148331119552048,0.8157771952050847,0.9144913956520925,1.7359628081577452,0.7851604323753101,0.8387036693967811,1.2956997334118674,0.7397846625613403,0.8469208322554895,1.4278940479650137,1.0063449458790201,1.0343513072192758,1.2505649409919717,1.0254069746170638,1.0678479961442484,1.1732485530499013,0.1742651066049477,122.51221470374001,0.0261160042136907,inside,inside,inside,inside,inside,inside
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,2,24500 25100,24800.0,0.8095567731302085,1.233994657218651,1.6584325413070935,3.2010279088051687,6.317428980100708,9.433830051396248,1.5708598811231917,1.9007762851548582,2.2306926891865246,5.835858419194436,8.037504588290059,10.239150757385683,0.6232865460042978,0.7102102490180631,0.7971339520318285,0.8343832269505996,1.218084023707206,1.6017848204638123,0.4675166113994105,179.50947848748635,1.0,inside,above,above,above,inside,inside
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,2,8100 8200,8150.0,0.9301907314862858,1.050418393869243,1.1706460562522005,3.113935437659343,3.643433643467683,4.172931849276023,1.8062143243642526,1.9677180160340404,2.1292217077038282,5.946993236241444,7.3304264541402375,8.71385967203903,0.6010061453783176,0.6076736255007084,0.6143411056230991,1.1807503165144042,1.828718138636885,2.4766859607593656,0.6734092297314228,174.1672542217942,1.0,inside,above,above,above,below,inside
