run,condition,recorded_every,stride,n_windows,n_finite,ph_dim_terminal,ph_dim_median,slope_median,steps_spanned
transformer_add97_f0.4_wd0.0_ortho_traj_s3,transformer_add97_f0.4_wd0.0_ortho_traj,20,100,1,1,1.8163421720894561,1.8163421720894561,0.44944294342423635,19900
transformer_add97_f0.4_wd0.0_ortho_traj_s4,transformer_add97_f0.4_wd0.0_ortho_traj,20,20,17,17,2.08493459192168,1.5054306323263453,0.3357382409213384,3980
transformer_add97_f0.4_wd0.0_ortho_traj_s4,transformer_add97_f0.4_wd0.0_ortho_traj,20,40,7,7,1.6153610743415885,1.5209167008758446,0.3425017955131049,7960
transformer_add97_f0.4_wd0.0_ortho_traj_s4,transformer_add97_f0.4_wd0.0_ortho_traj,20,60,3,3,1.4452987950759515,1.4452987950759515,0.30810154730153955,11940
transformer_add97_f0.4_wd0.0_ortho_traj_s4,transformer_add97_f0.4_wd0.0_ortho_traj,20,100,1,1,1.2290592036604366,1.2290592036604366,0.18636954426462346,19900
transformer_add97_permuted_dense_s0,transformer_add97_permuted_dense,20,20,37,37,1.0977458737491097,1.1411589265384947,0.12369786824231001,3980
transformer_add97_permuted_dense_s0,transformer_add97_permuted_dense,20,40,17,17,1.2758576694003536,1.2500073314178348,0.20000469207989452,7960
transformer_add97_permuted_dense_s0,transformer_add97_permuted_dense,20,60,10,10,1.3410600708735971,1.3440951406179777,0.25600352666364357,11940
transformer_add97_permuted_dense_s0,transformer_add97_permuted_dense,20,100,5,5,1.5251129550430977,1.5405055709873472,0.35086245786240433,19900
transformer_add97_permuted_dense_s1,transformer_add97_permuted_dense,20,20,37,37,1.1064670036754671,1.1380023641843966,0.12126720341508473,3980
transformer_add97_permuted_dense_s1,transformer_add97_permuted_dense,20,40,17,17,1.2275029371479922,1.2369213771466823,0.19154117757525552,7960
transformer_add97_permuted_dense_s1,transformer_add97_permuted_dense,20,60,10,10,1.3044902097983557,1.3489974558292093,0.25870872923135024,11940
transformer_add97_permuted_dense_s1,transformer_add97_permuted_dense,20,100,5,5,1.5631910008374412,1.5631910008374412,0.3602829088292636,19900
transformer_add97_permuted_dense_s2,transformer_add97_permuted_dense,20,20,37,37,1.131624456039916,1.1378287781872325,0.12113314483644774,3980
transformer_add97_permuted_dense_s2,transformer_add97_permuted_dense,20,40,17,17,1.2485782365146627,1.2483655022089217,0.19895255177225826,7960
transformer_add97_permuted_dense_s2,transformer_add97_permuted_dense,20,60,10,10,1.3403587860397006,1.3444654882522133,0.2562030495074862,11940
transformer_add97_permuted_dense_s2,transformer_add97_permuted_dense,20,100,5,5,1.5620402626408205,1.5575404240183088,0.3579620890865269,19900
transformer_add97_permuted_dense_s3,transformer_add97_permuted_dense,20,20,37,37,1.1331614841648718,1.1419788204599912,0.12432701720580233,3980
transformer_add97_permuted_dense_s3,transformer_add97_permuted_dense,20,40,17,17,1.2498057855137814,1.2403941041065265,0.193804616863836,7960
transformer_add97_permuted_dense_s3,transformer_add97_permuted_dense,20,60,10,10,1.3839786381087331,1.3267784968677767,0.24629329304243677,11940
transformer_add97_permuted_dense_s3,transformer_add97_permuted_dense,20,100,5,5,1.5165671949908675,1.5054374826003747,0.33574126354773737,19900
transformer_add97_permuted_dense_s4,transformer_add97_permuted_dense,20,20,37,37,1.1304237297012072,1.1445818396333112,0.12631848123645817,3980
transformer_add97_permuted_dense_s4,transformer_add97_permuted_dense,20,40,17,17,1.2777549535675585,1.263954497012054,0.20883227808915084,7960
transformer_add97_permuted_dense_s4,transformer_add97_permuted_dense,20,60,10,10,1.3811209613074382,1.3714156544203688,0.27082152611945787,11940
transformer_add97_permuted_dense_s4,transformer_add97_permuted_dense,20,100,5,5,1.566889376937254,1.5930360136265433,0.3722678009497714,19900
transformer_compose120_f0.6_wd1.0_softmax_ce_s0,transformer_compose120_f0.6_wd1.0_softmax_ce,20,20,97,97,1.1674727367762048,1.14130818650693,0.12381247079232424,3980
transformer_compose120_f0.6_wd1.0_softmax_ce_s0,transformer_compose120_f0.6_wd1.0_softmax_ce,20,40,47,47,1.3081013667404175,1.2515162946196787,0.2009692528183276,7960
transformer_compose120_f0.6_wd1.0_softmax_ce_s0,transformer_compose120_f0.6_wd1.0_softmax_ce,20,60,30,30,1.3370099789317642,1.3802985679181003,0.27551791745023296,11940
transformer_compose120_f0.6_wd1.0_softmax_ce_s0,transformer_compose120_f0.6_wd1.0_softmax_ce,20,100,17,17,1.6724884219478657,1.6335945065045745,0.38785298553695907,19900
transformer_compose120_f0.6_wd1.0_softmax_ce_s1,transformer_compose120_f0.6_wd1.0_softmax_ce,20,20,97,97,1.1311663430997885,1.1487536204125397,0.12949131804182643,3980
transformer_compose120_f0.6_wd1.0_softmax_ce_s1,transformer_compose120_f0.6_wd1.0_softmax_ce,20,40,47,47,1.2245245399975004,1.2658478807933882,0.21001566209263955,7960
transformer_compose120_f0.6_wd1.0_softmax_ce_s1,transformer_compose120_f0.6_wd1.0_softmax_ce,20,60,30,30,1.3773662844516812,1.3855891974752703,0.27828496937655284,11940
transformer_compose120_f0.6_wd1.0_softmax_ce_s1,transformer_compose120_f0.6_wd1.0_softmax_ce,20,100,17,17,1.6265027505171858,1.6491296404808076,0.3936195339327916,19900
