run,t_g,h1_max_persistence__0.5-0.9 / 1.2,h1_total_persistence__0.5-0.9 / 1.2,h1_max_persistence_normalised__0.5-0.9 / 1.2,h1_total_persistence_normalised__0.5-0.9 / 1.2,h0_total_persistence__0.5-0.9 / 1.2,lid__0.5-0.9 / 1.2,h1_max_persistence__0.7-0.9 / 1.2,h1_total_persistence__0.7-0.9 / 1.2,h1_max_persistence_normalised__0.7-0.9 / 1.2,h1_total_persistence_normalised__0.7-0.9 / 1.2,h0_total_persistence__0.7-0.9 / 1.2,lid__0.7-0.9 / 1.2,h1_max_persistence__0.3-0.9 / 1.2,h1_total_persistence__0.3-0.9 / 1.2,h1_max_persistence_normalised__0.3-0.9 / 1.2,h1_total_persistence_normalised__0.3-0.9 / 1.2,h0_total_persistence__0.3-0.9 / 1.2,lid__0.3-0.9 / 1.2,h1_max_persistence__0.5-0.9 / 1.5,h1_total_persistence__0.5-0.9 / 1.5,h1_max_persistence_normalised__0.5-0.9 / 1.5,h1_total_persistence_normalised__0.5-0.9 / 1.5,h0_total_persistence__0.5-0.9 / 1.5,lid__0.5-0.9 / 1.5,h1_max_persistence__0.5-0.9 / 1.05,h1_total_persistence__0.5-0.9 / 1.05,h1_max_persistence_normalised__0.5-0.9 / 1.05,h1_total_persistence_normalised__0.5-0.9 / 1.05,h0_total_persistence__0.5-0.9 / 1.05,lid__0.5-0.9 / 1.05
transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000.0,1.4026492717446335,15.318864946567928,2.899287092566698,29.75395345343068,0.4515839976201352,0.4573352070046939,2.296831015787078,32.64881399317767,3.4468939764846316,53.09303104970577,0.5692641186137651,0.5062793661778128,0.8875749079646271,6.693782371210586,2.6564825467237583,18.188531702125026,0.3229102469504516,0.474582278354495,1.3753794345865356,14.464572775355307,2.831954112760955,29.311030919090147,0.4515839976201352,0.44959311030720417,1.4025162194303475,15.22071991251343,2.8541597788067654,29.683670949036713,0.45661723902343554,0.46004626001755317
transformer_add113_f0.3_wd0.1_softmax_ce_s1,12000.0,2.041051951171681,12.599851753984009,5.768599048467296,37.6186270236315,0.3579908900749746,0.5439257389740173,2.375640914813034,12.518596207545535,4.922701030862702,24.41158313240054,0.44143450945720103,0.5325592225609178,1.7659415847981323,10.102830768811309,4.867405192111348,30.571471549224302,0.2834705824403125,0.5316297011697964,2.07406468278882,12.662030384361154,5.793176862345069,38.123873947569365,0.35457989836015197,0.5366209880585803,2.031406048185419,12.538314888374574,5.753270470440015,37.21289466848637,0.3583001975091965,0.5518233781633795
transformer_add113_f0.3_wd0.1_softmax_ce_s2,14000.0,1.6784325739430757,6.863249401734347,3.1024682427764594,14.808992637587519,0.48574269313191204,0.48335024124921316,2.0276359085128313,6.802287007269088,2.880733244700822,11.733280846395294,0.6758296024140744,0.48728172172752865,1.5164534207252511,5.904787506273481,3.083884970071042,13.850165724671285,0.39800428659273984,0.46811185955652224,1.6897053417256194,6.978805269152887,3.266192346105693,15.184149633296395,0.4849225618784134,0.4743638532046703,1.6749624018269946,6.7747409617950005,3.050381398250995,14.587967022138566,0.48736747461060476,0.48609418365505197
transformer_add113_f0.3_wd0.1_softmax_ce_s3,11500.0,0.9563256564157616,3.0756792143318314,2.197848441308226,6.7841521244280765,0.3506291077701854,0.7494934778345208,1.0312126619032853,3.6683952873429257,2.197848441308226,6.7841521244280765,0.44802681477542744,0.7171574634338586,0.5732894603125036,1.8776505936790027,2.1613267987013507,6.296834406411662,0.25530106364253713,0.760536778655038,0.943876360187803,3.0347530702377226,2.1984700795116727,6.670200909658712,0.3460959650533459,0.7500049649621588,0.9563256564157616,3.0094127111858446,2.1970381777282677,6.638334616334776,0.3517913313255361,0.7504136050954228
transformer_add113_f0.3_wd0.1_softmax_ce_s4,10500.0,0.7001055366839773,1.9480982962905895,2.3776975901703756,6.478398286980889,0.2898449501933095,0.6572189689624295,0.8884516944319448,2.513524641197119,2.337676249772177,6.540631612890613,0.37968129752399593,0.6740603104267043,0.5281774179735033,1.4806303738034092,2.381312755459728,6.179018339350074,0.22208995753444757,0.6510103065741917,0.7060254460671364,1.9255377785735193,2.4322116451517037,6.470739157783468,0.2876894337744128,0.6533638553912942,0.7012999973802946,1.9371699089709882,2.369905933119659,6.4627249629206105,0.29003130237726205,0.6667984245300647
transformer_add113_f0.3_wd1.0_softmax_ce_s0,21500.0,1.4016210001346991,2.6177436773429803,1.5713693415826302,2.6580073506262507,0.8604866729747503,0.8648346877569743,0.9790990578479547,1.2887835846493514,1.3758601020425067,1.773688704248747,0.6725943184876808,0.8016370834831731,1.3715742210163808,2.3705598425788024,1.5492162817066943,2.495036644427324,0.8795865109333016,0.8580539940287948,1.5214003201058983,2.798881873619439,1.610015095918129,3.202529673463683,0.8981901792244005,0.7699874774257512,1.281770085902502,2.4562251122535343,1.5247591953638278,2.4821684338144343,0.8868959117856322,0.9049710285781951
transformer_add113_f0.3_wd1.0_softmax_ce_s1,27500.0,0.6797293826516251,1.349477521508455,0.9646976278673893,1.8434290773423296,0.7065859680008946,1.195136829575411,0.7357437959546181,1.515887958723773,0.9965886699004227,1.8961380767849116,0.7502681849703696,1.1291292148817724,0.6825020620603413,1.4545977272293855,0.9441451450146879,1.8093206723290047,0.7207837663141268,1.2539573111252067,0.675048208046764,1.3013565399063434,0.9821808161044465,1.965465717943668,0.703850581993411,1.2175554292075086,0.675048208046764,1.2510578354856368,0.961014095982043,1.6930316008759565,0.7202446856615848,1.2175554292075086
transformer_add113_f0.3_wd1.0_softmax_ce_s2,21800.0,1.0009143891880243,3.0232614155526885,1.569099222461524,4.142316297128949,0.8207086861805726,0.9704610477436498,1.0009143891880243,3.3801946007696193,1.3562925537770372,4.455525014422688,0.8207086861805726,1.0825280385507177,0.979769892987471,2.8044350157483886,1.51723199147064,4.0410495853443695,0.8160383162278284,1.0207609495433292,1.1264655210319505,3.152782205006956,1.6455554974086557,4.316532265422622,0.7666420053516163,0.9465990348083629,0.9533791427326529,3.012754709768895,1.5009438522064835,4.130009738881474,0.8225394217369939,0.9723773685549342
transformer_add113_f0.3_wd1.0_softmax_ce_s3,16800.0,0.8427281600780848,1.1991239058694438,1.0967487726720946,1.5963353250021957,0.7632109783036839,1.279034190442059,0.7427694167511874,0.7774512277520013,1.0832636476602118,1.1624294172633045,0.636910365948536,1.2060913412720824,0.7891257500128008,1.0023395220809435,1.0832636476602118,1.5056024806162933,0.700248148063822,1.2845405421092557,0.9220209395668182,1.9043372497266435,1.4155749135203242,2.5345341782808126,0.7934078881260695,1.230718048906893,0.7927900068999081,1.1134180557380402,1.0108340278428998,1.4521796880499518,0.8049181261601048,1.287116588932493
transformer_add113_f0.3_wd1.0_softmax_ce_s4,19100.0,0.8646777043721712,2.071164713954625,1.2007771288142552,2.8007891318516043,0.7032247823553255,1.1736665590228426,0.7407241516196423,1.3537546256140724,1.1678721125877756,2.0615361521177804,0.6069749291319524,1.1535830388089046,0.9740574341305526,2.2781513883080846,1.219792130188266,2.8746267062651225,0.7570811194001371,1.170820576646656,0.8788425741192443,2.095451045613019,1.2147494321647587,3.16855159625964,0.683254494852797,1.077270281607667,0.8646777043721712,1.8409300867200198,1.18978744945619,2.151631497320057,0.7102661936548301,1.2235548668174123
