run,condition,t_g,window,projection_dim,projection_seed,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,45980,1.1575479946396485,0.13610493506033344,0.7556669874641496,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,46980,1.1200511720515804,0.10718364932531117,0.4250322587227505,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,47980,1.1527999908337814,0.13254683557315639,0.5797079627783036,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,48980,1.0349900992137242,0.03380718254242806,0.06722866823248341,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,49980,1.2607579586987279,0.20682634354960977,0.7339823602470688,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,50980,1.181892779205027,0.15389956043844605,0.8141382244186822,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,51980,1.0635493924648116,0.05975217786315858,0.21431352007223936,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,52980,1.3757753809918947,0.27313716045781505,0.8745323048102968,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,53980,1.1583101024644593,0.13667333309761637,0.73041202687049,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,54980,1.1957506029310139,0.16370520947360728,0.8932901218120272,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,55980,1.1030679264205252,0.09343751545290813,0.3603442902521744,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,56980,1.2059749828460635,0.17079540270393417,0.7276448789262833,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,57980,1.1154749625894582,0.10352089151458435,0.6905327948010787,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,58980,1.1357504173823445,0.11952486682348694,0.7392934031310859,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,59980,1.4317441572820169,0.30155119201018976,0.37589829392134533,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,1980,1.267132873735541,0.21081678115415495,0.5688086141552031,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,2980,1.2035112425123855,0.16909791560197346,0.8112533943644713,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,3980,1.3887155708664736,0.27991014072373277,0.6044238739977573,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,4980,1.2817765960699217,0.21983284523518515,0.7819155115166108,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,5980,1.539004643071887,0.3502293807223491,0.8292508768989482,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,0,6980,1.395148251823996,0.2832302956387503,0.7199033040447118,8.0
