n_seeds,observable,n_null_runs,null_min,null_max,power,minimum_detectable_ratio
11,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.546546229682953
11,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5840443059359033
11,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.0869019911942726
11,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.354624226519751
11,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.703352355154551
12,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8697588003920798
12,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.4862783374396935
12,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5718898544869815
12,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.0869019911942726
12,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.319537332387249
12,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.703352355154551
13,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8697588003920798
13,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.546546229682953
13,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5840443059359033
13,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.0869019911942726
13,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.354624226519751
13,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.703352355154551
14,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8665719358017276
14,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.453761911525109
14,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5309279902503468
14,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,2.8704827447904897
14,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.3121383452135782
14,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.6840276246276362
15,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8697588003920798
15,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.546546229682953
15,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5840443059359033
15,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.0869019911942726
15,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.354624226519751
15,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.703352355154551
16,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8632333347957208
16,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.3646888743838845
16,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5033215222069922
16,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,2.762699085174412
16,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.2958354947709747
16,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.6651364578986518
17,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8632333347957208
17,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.3646888743838845
17,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.46854397857002
17,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,2.6633641602397318
17,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.2741738112591783
17,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.66607094446924
18,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8632333347957208
18,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.3646888743838845
18,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5033215222069922
18,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,2.762699085174412
18,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.2958354947709747
18,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.6651364578986518
