run,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,scale_collapse,in_window_drift
transformer_add97_f0.3_wd3.0_softmax_ce_s0,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,151.2123366262278,1.0071050766105012
transformer_add97_f0.3_wd3.0_softmax_ce_s1,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,124.66701300063427,0.9523327005295167
transformer_add97_f0.3_wd3.0_softmax_ce_s2,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,130.29147884509598,1.036832522212377
transformer_add97_f0.3_wd3.0_softmax_ce_s3,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,154.33929337369347,0.8778592956500985
transformer_add97_f0.3_wd3.0_softmax_ce_s4,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,140.44500686655024,1.0412691273916437
transformer_add97_f0.4_wd0.0_softmax_ce_s0,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,0.9674431186184153,0.9959576347958081
transformer_add97_f0.4_wd0.0_softmax_ce_s1,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,0.9908772663032395,0.971068103910909
transformer_add97_f0.4_wd0.0_softmax_ce_s2,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,0.983034268084506,0.9993211873325643
transformer_add97_f0.4_wd0.0_softmax_ce_s3,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,0.9811715023501186,0.9998308749863923
transformer_add97_f0.4_wd0.0_softmax_ce_s4,transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,0.943604481600504,0.9996728816362198
transformer_add97_f0.4_wd0.0_stablemax_ce_s3,transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,0.6927932739476723,1.118106588000651
transformer_add97_f0.4_wd1.0_softmax_ce_s0,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,158.73016317144746,0.798702775908172
transformer_add97_f0.4_wd1.0_softmax_ce_s1,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,177.08748358941767,0.7287602780801611
transformer_add97_f0.4_wd1.0_softmax_ce_s2,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,196.0738913226059,0.15559735458176854
transformer_add97_f0.4_wd1.0_softmax_ce_s3,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,162.4236122312,0.7326133121182339
transformer_add97_f0.4_wd1.0_softmax_ce_s4,transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,117.24039382790957,0.33517310970744346
transformer_add97_f0.5_wd1.0_softmax_ce_s0,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,183.50655284305728,0.041075539332362306
transformer_add97_f0.5_wd1.0_softmax_ce_s1,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,180.38123090201762,0.06509202392247507
transformer_add97_f0.5_wd1.0_softmax_ce_s2,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,107.1298714578926,0.044423115206386046
transformer_add97_f0.5_wd1.0_softmax_ce_s3,transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,177.20773194969672,0.050721754881188505
