run,a0,operator,b,x,y
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,1,-1.7049868,3.0046086
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,2,-11.500082,-3.9960072
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,3,-2.8602772,-7.5814376
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,4,11.014133,-6.5444846
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,5,6.411582,0.70333534
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,6,-9.308909,9.498637
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,7,-6.259297,10.182335
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,8,7.802056,0.27769998
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,9,6.374546,-11.197489
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,10,-6.1005955,-9.8169365
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,11,-9.150457,0.1716842
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,12,2.505186,9.663373
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,13,11.461887,8.460304
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,14,2.297109,1.4579086
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,15,-12.981513,-4.9925046
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,16,-6.824174,-6.7336164
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,17,10.325478,-5.9313717
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,18,7.7362375,1.5743152
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,19,-5.540253,9.154211
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,20,-7.978715,9.232673
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,21,4.1034756,-0.16508144
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,22,8.262124,-11.016734
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,23,-2.513766,-10.418483
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,24,-10.750897,0.5248886
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,25,-0.62143147,10.547499
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,26,12.301585,8.742566
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,27,5.757791,0.3902612
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,28,-10.134796,-6.49537
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,29,-8.921474,-6.9878087
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,30,6.5619164,-4.6764393
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,31,9.731248,2.5245702
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,32,-2.881211,8.678768
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,33,-9.213215,8.275245
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,34,0.5230523,-0.43666238
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,35,9.135174,-10.409261
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,36,1.1253458,-10.847477
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,37,-11.317761,0.39616087
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,38,-3.8028738,11.42529
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,39,10.257918,8.994513
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,40,6.9270015,0.28651878
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,41,-6.7713847,-7.966992
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,42,-10.317762,-7.8426948
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,43,3.356565,-3.4222674
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,44,11.674756,3.706159
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,45,0.28994736,7.6234827
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,46,-10.839093,7.3720183
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,47,-2.3540635,-0.3964193
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,48,10.052349,-9.999281
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,49,4.209424,-10.553376
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,50,-7.810599,0.13348834
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,51,-6.143853,11.161122
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,52,6.6891704,9.578444
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,53,9.187378,-0.083874986
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,54,-4.2950583,-9.198079
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,55,-11.808636,-8.154289
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,56,0.7602292,-2.1449337
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,57,12.682887,5.131524
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,58,4.0655994,6.789802
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,59,-11.24859,6.146293
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,60,-5.6847644,-0.63498324
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,61,7.225308,-9.5088
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,62,5.699034,-9.899192
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,63,-4.831454,0.118693404
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,64,-7.6962147,10.545947
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,65,3.5478334,10.101301
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,66,10.945988,-0.1854301
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,67,-0.75071347,-10.674272
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,68,-14.015651,-8.933804
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,69,-2.893324,-0.47274396
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,70,13.422168,5.9082093
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,71,6.483388,6.6683493
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,72,-7.9157863,4.9123282
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,73,-8.067995,-1.727433
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,74,3.6895804,-8.841683
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,75,8.188343,-9.122437
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,76,-1.5375252,0.38860518
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,77,-9.498215,10.690458
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,78,0.41804177,10.170134
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,79,12.072588,0.094441675
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,80,2.9424088,-11.19106
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,81,-13.500447,-9.420543
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,82,-6.0218115,0.30535686
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,83,9.644292,7.282807
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,84,8.189101,7.133581
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,85,-4.8649526,4.097263
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,86,-9.82366,-2.8205328
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,87,-0.0484081,-7.9305754
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,88,9.739675,-8.075358
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,89,2.2177086,0.56833327
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,90,-11.413422,10.257677
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,91,-3.6703699,10.623559
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,92,11.956356,0.058012124
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,93,4.643925,-11.013797
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,94,-9.004817,-9.876339
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,95,-7.756091,0.01995668
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,96,5.98311,9.042318
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,0,9.86642,8.373525
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,1,9.277066,2.9215453
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,2,-1.9576745,-7.250651
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,3,-12.175868,-2.5197382
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,4,-9.662838,7.020311
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,5,2.0984933,3.931516
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,6,10.850145,-8.328505
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,7,8.209963,-5.5108237
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,8,1.4319096,6.585449
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,9,-7.8761187,8.93551
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,10,-8.220746,-2.4753532
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,11,-3.893156,-11.504382
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,12,4.5551715,-3.3365448
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,13,8.7962,9.791324
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,14,8.433191,6.138315
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,15,-2.1285605,-6.323071
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,16,-11.995034,-5.529244
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,17,-9.685343,4.4828696
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,18,1.8956336,5.3501334
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,19,10.934768,-4.866713
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,20,9.1687,-5.8322506
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,21,0.13276757,3.8222415
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,22,-8.743994,10.294679
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,23,-8.166446,0.0877138
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,24,-2.9072165,-11.713057
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,25,5.385133,-6.059293
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,26,8.218197,8.673638
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,27,7.2053785,8.767227
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,28,-2.4154131,-4.042706
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,29,-11.294913,-6.6046815
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,30,-9.461648,1.2760068
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,31,2.462293,5.2661023
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,32,11.139058,-2.0368698
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,33,9.081505,-7.1103225
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,add,34,-0.51935744,0.6899031
