run,a0,winding_add,winding_sub,product,overlap,residual_reflected,residual_rotated,reflection_shift,monotonicity,planarity
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,22,3.999999807746178,-4.000000414874104,-16.000000890481047,0.9916428327560425,0.18126970363730344,1.290269975325439,0,0.6082474226804123,0.3966766869728614
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,47,21.999999246167942,-21.999999246167942,-483.99996683139,0.9877077341079712,0.1878210393352291,1.304987999998495,0,1.0,0.38889259937348036
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,1,-2.0000000556550703,1.9999997520911073,-3.9999996154923414,0.9948520064353943,0.1855439484783844,1.2668575963160427,0,0.5773195876288659,0.40216097108561905
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,15,21.999999246167942,-21.999999246167942,-483.99996683139,0.9913293123245239,0.17885844822604985,1.3375671441865558,0,1.0,0.39916680403665517
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,59,-1.9999997520911073,1.999999903873089,-3.9999993119284163,0.9959688186645508,0.17647496055499445,1.3001289198596995,0,0.5309278350515464,0.4136749643632074
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,26,-7.589099077791946e-08,-0.9999996483725813,7.589096409256626e-08,0.9973491430282593,0.21862131957945258,1.1662775073856717,0,0.5103092783505154,0.4320754239579011
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,52,38.999998884435136,-39.00000131294684,-1521.0000076978956,0.9707109928131104,0.23051583648517512,1.2016403350656744,0,1.0,0.44119063079885645
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,42,39.00000131294684,-39.00000131294684,-1521.0001024098556,0.9647582769393921,0.22177253755468876,1.225945598377405,0,1.0,0.43381204842621135
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,3,-4.553459446675167e-07,4.553459446675167e-07,-2.073399293251532e-13,0.99430251121521,0.23496000515437976,1.2135241118025024,0,0.4948453608247423,0.3931829049798138
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,70,-1.999999903873089,1.9999997520911073,-3.9999993119284163,0.9966318607330322,0.22576688378288956,1.2117370138270547,0,0.5257731958762887,0.42434572908340984
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,57,-0.9999999519365445,0.9999998001545629,-0.999999752091117,0.9935899972915649,0.23181340566807382,1.2226956644221194,0,0.5257731958762887,0.41758150662369364
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,74,0.9999998001545629,-1.999999903873089,-1.999999504182234,0.9886155128479004,0.24459645100581417,1.2239364967002975,0,0.5051546391752577,0.359339222668313
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,84,-2.0000003592190336,0.9999996483725813,-1.9999996559640698,0.9936619997024536,0.2366322852314833,1.2271176040687997,0,0.5103092783505154,0.3695789401453574
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,69,5.691824308343959e-08,1.0000008626284338,5.6918292182734475e-08,0.9909892678260803,0.2381910042961092,1.208087487033429,0,0.5103092783505154,0.3787108292744782
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,6,0.9999994965905997,-4.17400449278557e-07,-4.1740023915524715e-07,0.5421991944313049,0.2142248105746804,1.2124297924645517,0,0.5103092783505154,0.42341346374191413
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,93,0.9999998001545629,-0.9999999519365445,-0.999999752091117,0.8211995363235474,0.21787629580289958,1.20942120759976,0,0.5257731958762887,0.42011561502854716
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,22,39.00000131294684,-39.00000131294684,-1521.0001024098556,0.9697954654693604,0.22795671660785757,1.2225921756057418,0,1.0,0.383879039751127
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,47,-13.999999630675585,12.999999223393095,-181.99998432628624,0.9241715669631958,0.22307041567687436,1.241477987754864,0,0.7371134020618557,0.41481303015878823
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,1,39.00000374145855,-39.00000131294684,-1521.0001971218153,0.9772075414657593,0.21994029401997306,1.2064992541717847,0,1.0,0.446177419234168
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,15,1.000000103718526,-1.000000407282489,-1.0000005110010572,0.9995549917221069,0.24672178057599353,1.1508778807307516,0,0.5103092783505154,0.4087273020998031
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,59,-0.9999998001545629,1.0000000278275352,-0.9999998279820925,0.9982043504714966,0.2406650566554469,1.1825625385648757,0,0.5154639175257731,0.3825678892331844
mlp_addsub97_f0.3_wd1.0_sq-addsub_s2,26,-1.00000048317348,-3.794549538895973e-08,3.794551372321678e-08,0.9864696264266968,0.20499345620898324,1.3182996035026993,0,0.5051546391752577,0.31734585151021977
mlp_addsub97_f0.3_wd1.0_sq-addsub_s2,52,-3.0356396311167783e-07,-2.000000207437052,6.071279891937692e-07,0.9873648285865784,0.20362184820251206,1.3155447322714697,0,0.5103092783505154,0.3105012365653921
mlp_addsub97_f0.3_wd1.0_sq-addsub_s2,42,-1.999999903873089,1.9999992967451625,-3.9999984012365704,0.992802619934082,0.20249972376374625,1.30380777385966,0,0.5309278350515464,0.300745021251981
mlp_addsub97_f0.3_wd1.0_sq-addsub_s2,3,-2.0000003592190336,2.9999994004636887,-5.999999878584263,0.9951977729797363,0.2054787258113152,1.298304991037486,0,0.5360824742268041,0.3340414997011108
mlp_addsub97_f0.3_wd1.0_sq-addsub_s2,70,-1.5178198155583891e-07,-7.589099077791946e-08,1.1518884962508513e-14,0.9859920144081116,0.2027202301437465,1.294134477610305,0,0.5,0.32035421581613005
mlp_addsub97_f0.3_wd1.0_sq-addsub_s2,57,4.000000718438067,-4.000000111310141,-16.000003318992913,0.9942938089370728,0.20923331902212822,1.3116543446977293,0,0.5412371134020618,0.3149816792825827
