run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,33333,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,33333,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,33939,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,33939,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,34545,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,34545,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,35152,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,35152,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,35758,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,35758,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,36364,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,36364,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,36970,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,36970,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,37576,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,37576,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,38182,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,38182,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,38788,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,38788,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,39394,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,39394,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,40000,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,40000,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,40606,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,40606,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,41212,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,41212,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,41818,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,41818,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,42424,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,42424,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,43030,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,43030,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,43636,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,43636,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,44242,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,44242,sub,6610,1.0
