run,step,winding_antisymmetry,overlap_median,residual_reflected_median,residual_rotated_median
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,22689,-0.9903917559354797,0.896007776260376,0.2890527652634922,1.249050432171646
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,23529,-0.9763804727078335,0.9438299834728241,0.2932957337035852,1.2383516578375702
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,24370,-0.9922125190016535,0.9442599415779114,0.3574558162825935,1.2443502167350895
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,25210,-0.9709214467269972,0.8662731051445007,0.1259921101290395,1.3171182913245791
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,26050,-0.9968399293526885,0.9294761121273041,0.1210108255029838,1.315948748298537
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,26891,-0.997432856521465,0.9375932216644287,0.12250614477092822,1.3159623081952971
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,27731,-0.9922729917324884,0.8420508503913879,0.13143300787013662,1.3105948424986662
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,28571,-0.9822505054026589,0.8995224833488464,0.14162696249751555,1.309135977523573
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,29412,-0.9794091070057273,0.9029068350791931,0.17750417778078614,1.2884191026389673
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,30252,-0.9839629559883688,0.8619869649410248,0.14470976456002238,1.3098270707532338
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,31092,-0.9256275357327537,0.9454023838043213,0.1355619106317087,1.3138646417115645
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,31933,-0.9700276547978437,0.9346526861190796,0.12912276904527187,1.3154331518691147
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,32773,-0.9723663367635458,0.8127138018608093,0.18698045706033461,1.271317490706874
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,33613,-0.9412984205632912,0.9002747535705566,0.17041542833904938,1.3022985008215384
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,34454,-0.9864896012232157,0.9234029352664948,0.19020382516498363,1.302622696133072
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,35294,-0.9792178668729032,0.9633006453514099,0.18191771278823732,1.292315057670864
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,36134,-0.9550879802614552,0.9319379925727844,0.14067022708592075,1.31811186173096
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,36975,-0.9999999999999803,0.9962503612041473,0.19695363068783256,1.269469992587443
