step,test_acc,test_acc_novel,h1_total_persistence_normalised,run,t_g,step_over_tg,null_lo,null_hi
22,0.000868055562023,0.000717231479939,1.8764993135231416,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0013836477987421384,0.4513591555815271,2.153484307846312
24,0.0006944444612599,0.0005379235954023,1.875604453629864,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0015094339622641509,0.4513591555815271,2.153484307846312
26,0.000868055562023,0.000717231479939,1.874251156784016,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0016352201257861635,0.4513591555815271,2.153484307846312
28,0.0010416667209938,0.0008965393644757,1.8717392049881587,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.001761006289308176,0.4513591555815271,2.153484307846312
31,0.0010416667209938,0.0008965393644757,1.867063301004425,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.001949685534591195,0.4513591555815271,2.153484307846312
33,0.0006944444612599,0.000717231479939,1.864589321386144,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0020754716981132076,0.4513591555815271,2.153484307846312
36,0.0005208333604969,0.0005379235954023,1.860514010980725,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0022641509433962265,0.4513591555815271,2.153484307846312
39,0.0003472222306299,0.0003586157399695,1.85429357074876,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0024528301886792454,0.4513591555815271,2.153484307846312
42,0.000868055562023,0.0008965393644757,1.849543956549732,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0026415094339622643,0.4513591555815271,2.153484307846312
45,0.0005208333604969,0.0005379235954023,1.8433099549379,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.002830188679245283,0.4513591555815271,2.153484307846312
49,0.0001736111153149,0.0001793078699847,1.834877511319836,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.003081761006289308,0.4513591555815271,2.153484307846312
53,0.0001736111153149,0.0001793078699847,1.827927141481518,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0033333333333333335,0.4513591555815271,2.153484307846312
57,0.0005208333604969,0.0005379235954023,1.8259151766149748,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0035849056603773585,0.4513591555815271,2.153484307846312
62,0.0010416667209938,0.000717231479939,1.8241747410516276,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.00389937106918239,0.4513591555815271,2.153484307846312
67,0.001562500023283,0.0010758471908047,1.8243483605877628,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.004213836477987422,0.4513591555815271,2.153484307846312
72,0.0020833334419876,0.0010758471908047,1.8219638992397595,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.004528301886792453,0.4513591555815271,2.153484307846312
