panel,run,step,gap,distance,rate,t_g
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,54958,504,1.255976572949173,0.002492017009819788,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,55462,504,0.8449118993931295,0.001676412498795892,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,55966,504,1.8408923604385163,0.0036525642072192783,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,56471,505,1.2283218903539064,0.0024323205749582303,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,56975,504,1.1068494974688283,0.0021961299552952945,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,57479,504,1.03504089301819,0.002053652565512282,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,57983,504,1.0587981797328954,0.00210079003915257,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,58487,504,0.8417168084047405,0.0016700730325490882,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,58992,505,0.9630879991779688,0.001907104948867265,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,59496,504,1.6365907001002427,0.003247203770040164,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s0,60000,504,1.2091807805576622,0.002399168215392187,13000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,504,504,0.27523323725045173,0.0005460976929572455,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,1008,504,0.1570150411008619,0.00031153777996202755,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,1513,505,0.19735191497547971,0.0003907958712385737,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,2017,504,0.14725265654986996,0.00029216796934498007,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,2521,504,0.23862698755840464,0.00047346624515556476,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,3025,504,0.2038557170884608,0.0004044756291437715,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,3529,504,0.3185644758704071,0.0006320723727587442,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,4034,505,0.16683252269870477,0.0003303614310865441,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,4538,504,0.21886548379008125,0.00043425691228190724,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,5042,504,0.22074808662172918,0.00043799223536057375,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,5546,504,0.22677477509780233,0.00044994995059087766,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,6050,504,0.15362692246862755,0.000304815322358388,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,6555,505,0.14862853734270615,0.0002943139353320914,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,7059,504,0.12817730358858767,0.00025432004680275334,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,7563,504,0.12095283214409391,0.0002399857780636784,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,8067,504,0.13034148497201417,0.0002586140574841551,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,8571,504,0.11358723766404487,0.00022537150330167633,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,9076,505,0.16380381714951084,0.000324363994355467,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,9580,504,0.23680937844057387,0.0004698598778582815,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,10084,504,0.18432314869541638,0.00036572053312582613,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,10588,504,0.423483320715789,0.0008402446839598988,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,11092,504,0.31664021593953257,0.0006282543967054217,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,11597,505,0.5993973681181101,0.001186925481422,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,12101,504,0.36991028677877835,0.0007339489817039253,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,12605,504,1.0077802892630123,0.0019995640659980405,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,13109,504,0.4309058527252474,0.0008549719300104115,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,13613,504,3.013605553437692,0.0059793760980906595,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,14118,505,1.1481944676395766,0.0022736524111674782,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,14622,504,2.6822680086287227,0.005321960334580799,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,15126,504,1.8191397136248264,0.003609404193700052,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,15630,504,2.5554728094663854,0.00507038255846505,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,16134,504,1.0850871466139786,0.002152950687726148,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,16639,505,1.1413468613008546,0.0022600927946551577,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,17143,504,4.35010523130052,0.008631161173215317,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,17647,504,2.5670668161803847,0.005093386540040446,12000.0
reference,transformer_add113_f0.3_wd0.1_softmax_ce_s1,18151,504,4.316897030116785,0.00856527188515235,12000.0
