run,observable,model,operation,modulus,train_fraction,weight_decay,label_permutation,loss,optimizer,t_g,t_top,delta
transformer_add113_f0.3_wd0.1_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,14000.0,16639.0,-2639.0
transformer_add113_f0.3_wd0.1_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,14000.0,21176.0,-7176.0
transformer_add113_f0.3_wd0.1_softmax_ce_s2,h1_max_persistence,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,14000.0,16639.0,-2639.0
transformer_add113_f0.3_wd0.1_softmax_ce_s3,h1_max_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,11500.0,13613.0,-2113.0
transformer_add113_f0.3_wd0.1_softmax_ce_s3,h1_total_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,11500.0,14622.0,-3122.0
transformer_add113_f0.3_wd0.1_softmax_ce_s3,h1_max_persistence,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,11500.0,9580.0,1920.0
transformer_add113_f0.3_wd0.1_softmax_ce_s4,h1_max_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,10500.0,12101.0,-1601.0
transformer_add113_f0.3_wd0.1_softmax_ce_s4,h1_total_persistence_normalised,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,10500.0,12101.0,-1601.0
transformer_add113_f0.3_wd0.1_softmax_ce_s4,h1_max_persistence,transformer,add,113,0.3,0.1,False,softmax_ce,adamw,10500.0,46891.0,-36391.0
transformer_add113_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,21500.0,33103.0,-11603.0
transformer_add113_f0.3_wd1.0_softmax_ce_s0,h1_total_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,21500.0,33103.0,-11603.0
transformer_add113_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,21500.0,33103.0,-11603.0
transformer_add113_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,27500.0,33103.0,-5603.0
transformer_add113_f0.3_wd1.0_softmax_ce_s1,h1_total_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,27500.0,33103.0,-5603.0
transformer_add113_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,27500.0,60000.0,-32500.0
transformer_add113_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,21800.0,38410.0,-16610.0
transformer_add113_f0.3_wd1.0_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,21800.0,35658.0,-13858.0
transformer_add113_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,21800.0,44567.0,-22767.0
transformer_add113_f0.3_wd1.0_softmax_ce_s3,h1_max_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,16800.0,41374.0,-24574.0
transformer_add113_f0.3_wd1.0_softmax_ce_s3,h1_total_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,16800.0,41374.0,-24574.0
transformer_add113_f0.3_wd1.0_softmax_ce_s3,h1_max_persistence,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,16800.0,41374.0,-24574.0
transformer_add113_f0.3_wd1.0_softmax_ce_s4,h1_max_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,19100.0,30732.0,-11632.0
transformer_add113_f0.3_wd1.0_softmax_ce_s4,h1_total_persistence_normalised,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,19100.0,33103.0,-14003.0
transformer_add113_f0.3_wd1.0_softmax_ce_s4,h1_max_persistence,transformer,add,113,0.3,1.0,False,softmax_ce,adamw,19100.0,38410.0,-19310.0
transformer_add149_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,10500.0,5989.0,4511.0
transformer_add149_f0.3_wd1.0_softmax_ce_s0,h1_total_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,10500.0,7485.0,3015.0
transformer_add149_f0.3_wd1.0_softmax_ce_s0,h1_max_persistence,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,10500.0,7485.0,3015.0
transformer_add149_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9600.0,12594.0,-2994.0
transformer_add149_f0.3_wd1.0_softmax_ce_s1,h1_total_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9600.0,12594.0,-2994.0
transformer_add149_f0.3_wd1.0_softmax_ce_s1,h1_max_persistence,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9600.0,10077.0,-477.0
transformer_add149_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,6800.0,14613.0,-7813.0
transformer_add149_f0.3_wd1.0_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,6800.0,22827.0,-16027.0
transformer_add149_f0.3_wd1.0_softmax_ce_s2,h1_max_persistence,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,6800.0,12594.0,-5794.0
transformer_add149_f0.3_wd1.0_softmax_ce_s3,h1_max_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9800.0,44567.0,-34767.0
transformer_add149_f0.3_wd1.0_softmax_ce_s3,h1_total_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9800.0,12594.0,-2794.0
transformer_add149_f0.3_wd1.0_softmax_ce_s3,h1_max_persistence,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9800.0,44567.0,-34767.0
transformer_add149_f0.3_wd1.0_softmax_ce_s4,h1_max_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9800.0,12594.0,-2794.0
transformer_add149_f0.3_wd1.0_softmax_ce_s4,h1_total_persistence_normalised,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9800.0,12594.0,-2794.0
transformer_add149_f0.3_wd1.0_softmax_ce_s4,h1_max_persistence,transformer,add,149,0.3,1.0,False,softmax_ce,adamw,9800.0,8062.0,1738.0
transformer_add97_f0.2_wd1.0_softmax_ce_s0,h1_max_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,5560.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s0,h1_total_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,5161.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s0,h1_max_persistence,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,13566.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s1,h1_max_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,4791.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s1,h1_total_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,7485.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s1,h1_max_persistence,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,12594.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,4791.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s2,h1_total_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,6451.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s2,h1_max_persistence,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,55701.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s3,h1_max_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,6451.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s3,h1_total_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,7485.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s3,h1_max_persistence,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,7485.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s4,h1_max_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,28530.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s4,h1_total_persistence_normalised,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,30732.0,
transformer_add97_f0.2_wd1.0_softmax_ce_s4,h1_max_persistence,transformer,add,97,0.2,1.0,False,softmax_ce,adamw,,28530.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s0,h1_max_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,286.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s0,h1_total_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,545.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s0,h1_max_persistence,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,248.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s1,h1_max_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,8279.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s1,h1_total_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,629.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s1,h1_max_persistence,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,8279.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s2,h1_max_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,200.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s2,h1_total_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,900.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s2,h1_max_persistence,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,200.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s3,h1_max_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,91.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s3,h1_total_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,966.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s3,h1_max_persistence,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,2633.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s4,h1_max_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,381.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s4,h1_total_persistence_normalised,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,837.0,
transformer_add97_f0.3_wd0.0_stablemax_ce_s4,h1_max_persistence,transformer,add,97,0.3,0.0,False,stablemax_ce,orthograd_adamw,,381.0,
transformer_add97_f0.3_wd0.1_softmax_ce_s0,h1_max_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,,38154.0,
transformer_add97_f0.3_wd0.1_softmax_ce_s0,h1_total_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,,41354.0,
transformer_add97_f0.3_wd0.1_softmax_ce_s0,h1_max_persistence,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,,,
transformer_add97_f0.3_wd0.1_softmax_ce_s1,h1_max_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,142200.0,38154.0,104046.0
transformer_add97_f0.3_wd0.1_softmax_ce_s1,h1_total_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,142200.0,41354.0,100846.0
transformer_add97_f0.3_wd0.1_softmax_ce_s1,h1_max_persistence,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,142200.0,108692.0,33508.0
transformer_add97_f0.3_wd0.1_softmax_ce_s2,h1_max_persistence_normalised,transformer,add,97,0.3,0.1,False,softmax_ce,adamw,137000.0,29965.0,107035.0
