window,task,feature_set,n_features,n_folds,score_mean,score_std,increment_over_baselines,variant,n_runs,n_groups,guarded,target_range,window_steps
tc,classification,baselines,32,5,0.6308024691358025,0.221437606620853,,full,124,30,True,,
tc,classification,baselines+topology,44,5,0.6759876543209876,0.1823927737440206,0.0451851851851851,full,124,30,True,,
tc,classification,fourier,28,5,0.5875925925925926,0.2629929850131619,,full,124,30,True,,
tc,classification,lid,2,5,0.5235185185185186,0.0450931735371269,,full,124,30,True,,
tc,classification,topology,12,5,0.6987654320987653,0.1198632877186428,,full,124,30,True,,
tc,classification,weight_norm,2,5,0.609320987654321,0.2018458488177464,,full,124,30,True,,
w500,regression,baselines,32,5,-0.3034958864505199,0.4093090342024298,,full,81,21,True,2.374748346010104,500.0
w500,regression,baselines+topology,44,5,-0.2628973691386257,0.388567405898319,0.0405985173118941,full,81,21,True,2.374748346010104,500.0
w500,regression,fourier,28,5,-0.2327516540632509,0.484845604921816,,full,81,21,True,2.374748346010104,500.0
w500,regression,lid,2,5,-0.068663221444735,0.2352368463676513,,full,81,21,True,2.374748346010104,500.0
w500,regression,topology,12,5,-0.1953344632980425,0.528989984304615,,full,81,21,True,2.374748346010104,500.0
w500,regression,weight_norm,2,5,-0.8721588479210984,1.045690351996906,,full,81,21,True,2.374748346010104,500.0
w1000,regression,baselines,32,5,-3.1066018361892245,4.456866131432893,,full,76,19,True,2.1115069112355225,1000.0
w1000,regression,baselines+topology,44,5,-2.8846799105672334,4.464048384644881,0.2219219256219911,full,76,19,True,2.1115069112355225,1000.0
w1000,regression,fourier,28,5,-2.619749133097955,3.3286900120423897,,full,76,19,True,2.1115069112355225,1000.0
w1000,regression,lid,2,5,-2.8752899872715028,5.574029228757541,,full,76,19,True,2.1115069112355225,1000.0
w1000,regression,topology,12,5,-3.6479551019688734,7.0699902043811935,,full,76,19,True,2.1115069112355225,1000.0
w1000,regression,weight_norm,2,5,-2.422861173889812,4.483111430550787,,full,76,19,True,2.1115069112355225,1000.0
w2000,regression,baselines,32,5,-4.46654394441099,4.933551671918069,,full,74,18,True,1.8306803016598283,2000.0
w2000,regression,baselines+topology,44,5,-5.055029819046967,5.587566682109691,-0.5884858746359773,full,74,18,True,1.8306803016598283,2000.0
w2000,regression,fourier,28,5,-3.892616172880018,4.645731316518155,,full,74,18,True,1.8306803016598283,2000.0
w2000,regression,lid,2,5,-2.74871634057488,5.334130697934364,,full,74,18,True,1.8306803016598283,2000.0
w2000,regression,topology,12,5,-4.050475657842002,7.48137158436225,,full,74,18,True,1.8306803016598283,2000.0
w2000,regression,weight_norm,2,5,-2.999249717306289,5.16180486235794,,full,74,18,True,1.8306803016598283,2000.0
w5000,regression,baselines,32,5,-1.9210197911014957,2.298390804521053,,full,62,16,True,1.374748346010104,5000.0
w5000,regression,baselines+topology,44,5,-1.8958173593206389,2.169045423508875,0.0252024317808567,full,62,16,True,1.374748346010104,5000.0
w5000,regression,fourier,28,5,-2.02371531241137,2.45599782513761,,full,62,16,True,1.374748346010104,5000.0
w5000,regression,lid,2,5,-0.0886965078088807,0.09709190325592,,full,62,16,True,1.374748346010104,5000.0
w5000,regression,topology,12,5,-0.4041790773224048,0.0756363603782451,,full,62,16,True,1.374748346010104,5000.0
w5000,regression,weight_norm,2,5,-0.34052809433202,0.2800100619527847,,full,62,16,True,1.374748346010104,5000.0
tc,regression,baselines,32,5,-0.0641077785292255,0.4736126166407055,,full,81,20,True,2.4539295920577286,
tc,regression,baselines+topology,44,5,-0.0798547137503597,0.5158117213345617,-0.0157469352211342,full,81,20,True,2.4539295920577286,
tc,regression,fourier,28,5,0.1390431606281065,0.3504783283984385,,full,81,20,True,2.4539295920577286,
tc,regression,lid,2,5,0.0236506103575953,0.1352901573821146,,full,81,20,True,2.4539295920577286,
tc,regression,topology,12,5,-0.4601894222618758,0.4702949860614475,,full,81,20,True,2.4539295920577286,
tc,regression,weight_norm,2,5,-0.9229868737530776,1.1924655702599565,,full,81,20,True,2.4539295920577286,
