run,model,operation,modulus,train_fraction,weight_decay,seed,circularity,circularity_column,h1_max_persistence__ratio,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__ratio,test_acc__final
transformer_add97_f0.4_wd1.0_softmax_ce_s3,transformer,add,97,0.4,1.0,3,0.3030454502706953,fourier_concentration_k5,0.9233354872167703,1.2603312988499946,1.7552189017013347,1.0
transformer_add97_f0.4_wd1.0_softmax_ce_s4,transformer,add,97,0.4,1.0,4,0.3740981363532329,fourier_concentration_k5,0.46087998116259965,1.375050586739729,2.4449183663459753,0.998405694961548
transformer_add97_f0.5_wd1.0_softmax_ce_s0,transformer,add,97,0.5,1.0,0,0.2761265699898355,fourier_concentration_k5,0.04127596235653978,1.0048793765690027,1.7223799361408512,1.0
transformer_add97_f0.5_wd1.0_softmax_ce_s1,transformer,add,97,0.5,1.0,1,0.3385984368254454,fourier_concentration_k5,0.08695510794436113,1.3358796163401696,2.3221398121243446,1.0
transformer_add97_f0.5_wd1.0_softmax_ce_s2,transformer,add,97,0.5,1.0,2,0.3944003011245671,fourier_concentration_k5,0.06792040926417871,1.5289429601824684,4.863997423499982,0.999574899673462
transformer_add97_f0.5_wd1.0_softmax_ce_s3,transformer,add,97,0.5,1.0,3,0.3139450891980139,fourier_concentration_k5,0.07991027723671221,1.575463574237433,2.548961501934315,1.0
transformer_add97_f0.5_wd1.0_softmax_ce_s4,transformer,add,97,0.5,1.0,4,0.3236254899966057,fourier_concentration_k5,0.09370291677013835,1.3378369108325037,1.8697659982102182,1.0
transformer_div97_f0.5_wd1.0_softmax_ce_s0,transformer,div,97,0.5,1.0,0,0.3840594755081475,fourier_concentration_group_k5,0.4645022760933006,0.644755415452993,2.5274634620974794,1.0
transformer_div97_f0.5_wd1.0_softmax_ce_s1,transformer,div,97,0.5,1.0,1,0.4927746890747194,fourier_concentration_group_k5,1.5918875186265402,1.0715307232957645,4.392445497933839,1.0
transformer_div97_f0.5_wd1.0_softmax_ce_s2,transformer,div,97,0.5,1.0,2,0.6784367296519687,fourier_concentration_group_k5,1.1259818894838167,1.2912571450257917,2.1077478512691807,1.0
transformer_div97_f0.5_wd1.0_softmax_ce_s3,transformer,div,97,0.5,1.0,3,0.443905301288198,fourier_concentration_group_k5,0.5193891110087894,1.175026501972885,3.3618693097042938,1.0
transformer_div97_f0.5_wd1.0_softmax_ce_s4,transformer,div,97,0.5,1.0,4,0.6697044476561529,fourier_concentration_group_k5,1.5981955553735991,1.6040381121871994,5.28612779263938,1.0
transformer_mul97_f0.5_wd1.0_softmax_ce_s0,transformer,mul,97,0.5,1.0,0,0.4126620420530678,fourier_concentration_group_k5,0.056792486132192316,0.9857234973966229,2.0774901585273264,1.0
transformer_mul97_f0.5_wd1.0_softmax_ce_s1,transformer,mul,97,0.5,1.0,1,0.4697248774961534,fourier_concentration_group_k5,0.0781052802857626,0.8526441210586797,1.3199098148532737,1.0
transformer_mul97_f0.5_wd1.0_softmax_ce_s2,transformer,mul,97,0.5,1.0,2,0.3495876751545864,fourier_concentration_group_k5,0.06176182230224022,0.5377859745995553,1.1246700699139756,1.0
transformer_mul97_f0.5_wd1.0_softmax_ce_s3,transformer,mul,97,0.5,1.0,3,0.4671438241402619,fourier_concentration_group_k5,0.053372221671134,0.9178202884132017,1.822292845601252,1.0
transformer_mul97_f0.5_wd1.0_softmax_ce_s4,transformer,mul,97,0.5,1.0,4,0.391833384235783,fourier_concentration_group_k5,0.09513099109737923,0.8840567697320144,1.8217283196589424,1.0
transformer_sub97_f0.4_wd1.0_softmax_ce_s0,transformer,sub,97,0.4,1.0,0,0.316376323898306,fourier_concentration_k5,0.8095567731302085,1.5708598811231917,5.835858419194436,1.0
transformer_sub97_f0.4_wd1.0_softmax_ce_s1,transformer,sub,97,0.4,1.0,1,0.618656898900515,fourier_concentration_k5,1.6584325413070935,2.2306926891865246,10.239150757385683,1.0
transformer_sub97_f0.5_wd1.0_softmax_ce_s0,transformer,sub,97,0.5,1.0,0,0.7082107313426468,fourier_concentration_k5,0.9301907314862858,1.8062143243642526,8.71385967203903,1.0
transformer_sub97_f0.5_wd1.0_softmax_ce_s1,transformer,sub,97,0.5,1.0,1,0.6386077281201988,fourier_concentration_k5,1.1706460562522005,2.1292217077038282,5.946993236241444,1.0
