stage,step,dim,birth,death,scale,run,t_g
memorising,3025,0,0.0,5.651287078857422,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.661285877227783,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.664536476135254,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.666472911834717,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.670803546905518,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.6722187995910645,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.672266960144043,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.675219535827637,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.6754326820373535,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.675774574279785,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.676423072814941,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.681088447570801,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.681844234466553,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.687032699584961,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.702850341796875,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.703112602233887,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.703601360321045,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.7184576988220215,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.724651336669922,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.725035667419434,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.726171970367432,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
