model,operation,modulus,train_fraction,weight_decay,label_permutation,loss,optimizer,lr,n_runs,n_grokked,t_g_median,circularity,scale_collapse,h1_max_persistence__lo,h1_max_persistence__med,h1_max_persistence__hi,h1_total_persistence__lo,h1_total_persistence__med,h1_total_persistence__hi,h1_max_persistence_normalised__lo,h1_max_persistence_normalised__med,h1_max_persistence_normalised__hi,h1_total_persistence_normalised__lo,h1_total_persistence_normalised__med,h1_total_persistence_normalised__hi,h0_total_persistence__lo,h0_total_persistence__med,h0_total_persistence__hi,lid__lo,lid__med,lid__hi,h1_max_persistence__verdict,h1_total_persistence__verdict,h1_max_persistence_normalised__verdict,h1_total_persistence_normalised__verdict,h0_total_persistence__verdict,lid__verdict,block,h1_max_persistence__null_lo,h1_max_persistence__null_hi,h1_total_persistence__null_lo,h1_total_persistence__null_hi,h1_max_persistence_normalised__null_lo,h1_max_persistence_normalised__null_hi,h1_total_persistence_normalised__null_lo,h1_total_persistence_normalised__null_hi,h0_total_persistence__null_lo,h0_total_persistence__null_hi,lid__null_lo,lid__null_hi
transformer,div,97.0,0.5,1.0,False,softmax_ce,adamw,0.001,5,5,8100.0,0.4927746890747194,47.622983812724485,0.4645022760933006,1.1259818894838167,1.5981955553735991,1.2393206618645116,1.7415544556750184,7.588401589850817,0.644755415452993,1.175026501972885,1.6040381121871994,2.1077478512691807,3.3618693097042938,5.28612779263938,0.27513663509214065,0.5737041307461339,0.6799157134509701,0.7576764722550057,1.0640283567917936,2.7367025462284498,inside,inside,inside,inside,below,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,97.0,0.3,1.0,False,softmax_ce,adamw,0.001,5,5,28600.0,0.2556247820354627,154.95773723111867,0.8483782597197783,0.9086106289461077,1.209967493067307,1.1558699045940193,1.6415957185919416,3.0616508338396513,0.8806260554151021,1.0854264170867567,1.2091118833356345,0.9570062523383844,1.6579035560594824,3.8028069027083804,0.8444456798694268,0.9673163795988137,1.1113170431064194,0.9910212087616167,1.2374337990819435,1.6399991191389003,inside,inside,inside,inside,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,mul,97.0,0.5,1.0,False,softmax_ce,adamw,0.001,5,5,2600.0,0.4126620420530678,64.64235178378833,0.053372221671134,0.06176182230224022,0.09513099109737923,0.11906298245701503,0.1351681449106089,0.224488239553342,0.5377859745995553,0.8840567697320144,0.9857234973966229,1.1246700699139756,1.8217283196589424,2.0774901585273264,0.02056304572881829,0.033519977701132235,0.03923955319975379,0.5026995801579214,0.7425169340167673,0.8356635588165574,below,below,inside,inside,below,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,97.0,0.3,0.1,False,softmax_ce,adamw,0.001,5,3,140100.0,0.2528834351169893,62.72528284125788,0.681621324823345,0.9368835674579562,1.087929525760877,0.8562917640226863,1.2217851555577832,1.6633180922230009,0.8244282656069507,0.8613201047402105,0.9532905253824766,1.0387028950753365,1.0922525007494643,1.5912637079479128,0.8182401206766348,1.1262147475122493,1.1704933338865855,1.2250547390243012,1.2264024170555807,1.2616405972408726,inside,inside,inside,inside,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,97.0,0.3,0.3,False,softmax_ce,adamw,0.001,5,5,43800.0,0.3131302829539761,127.16420673366682,0.5409569580889065,0.6616076027039792,1.1184172677789108,0.7380275647367879,1.1367032248747764,1.3969065136182162,0.7235231768844428,0.8447014054271509,0.9876177053219255,1.071419897738416,1.2698564669594932,1.9047490136889365,0.7555386675668428,0.7765509164291258,1.1952483179630988,1.227046259986632,1.4848395914552008,1.7527359378860663,inside,inside,inside,inside,inside,inside,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,97.0,0.3,3.0,False,softmax_ce,adamw,0.001,5,5,49300.0,0.1368791569618209,140.44500686655024,0.16942882864756428,0.33256522210268663,0.36370894931118797,0.04023162981729042,0.09955002333741982,0.14592902949354633,0.19300226071205842,0.33021899087428247,0.34929389505887964,0.04274654385009632,0.09983046204769169,0.14346410948114655,0.9361159503699633,0.9978657741910648,1.0751005781262006,1.8119122567425672,1.8615285434862898,2.0136964829429074,below,below,below,below,inside,above,condition,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
mlp,add,97.0,0.3,0.0,False,softmax_ce,orthograd_adamw,0.001,3,3,500.0,0.9991419023376318,1.640932641462277,2.479054995327719,3.2177102949539833,6.366449325828719,2.353450346181369,3.534223848766154,3.7323051977370674,3.9100247602100433,5.289228660717486,13.775872994860812,3.714180864841445,5.794952231591669,8.083201057870344,0.48607856987954884,0.6470489975664206,0.6621676134669316,1.295075350676916,1.8237706229272932,2.3304175584548927,above,inside,above,above,below,inside,intervention,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
mlp,add,97.0,0.3,0.0,False,stablemax_ce,orthograd_adamw,0.001,3,2,650.0,0.9967439698532581,1.7494539490489847,4.7867169046479505,5.225256061333517,5.663795218019083,1.575262178534248,2.343805357957864,3.11234853738148,7.36054027571698,9.072456640489218,10.784373005261454,2.4297275184182365,4.247700084123736,6.065672649829234,0.5345620560654224,0.5989022720357196,0.6632424880060168,0.7388039604354149,0.9705563263960872,1.2023086923567596,above,inside,above,above,below,inside,intervention,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
mlp,add,97.0,0.4,0.0,False,softmax_ce,orthograd_adamw,0.01,3,3,900.0,0.3024637237018836,0.994358654065841,0.964712235456048,0.9868589365682848,1.038998282111683,0.9404273513905029,1.0825220637750168,1.251186150283965,0.9656094940146985,0.9795946568455159,1.050237438938884,0.9500709664511621,1.0745556111509404,1.2524674402265559,0.9876016874421655,0.9923360924023794,0.9945955712364928,0.9887143579192436,1.0016786381546667,1.0087169395968791,inside,inside,inside,inside,inside,inside,intervention,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
transformer,add,97.0,0.4,0.0,False,softmax_ce,orthograd_adamw,0.01,5,3,4900.0,0.1693967085713115,0.9811715023501186,0.9624148054695244,0.9884498889954058,1.5164937437523698,0.8016340089593035,0.9683052786810121,1.3227358832548475,0.9886170888740143,0.9910888861383316,1.522648846467533,0.8017339087263065,0.9722354092697271,1.33963400760315,0.9288446789465632,0.9987525461196205,1.0038381239013912,0.7457024145369554,0.9791897108669667,1.0613282040599121,inside,inside,inside,inside,inside,inside,intervention,0.5373412428170623,1.5422955721966312,0.3973614671578934,2.6001801343482427,0.7507386378190154,1.3164037341619659,0.4513591555815271,2.153484307846312,0.7053122806836409,1.2021928669143314,0.6799856179720456,1.3817798590104606
