run,model,t_g,stage,step,pca_dim,depth,layer,draw,diameter,n_points,betti_1,life_1,betti_2,life_2,condition,regime
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,2,logits,0,155.06951226908427,300.0,0.0,0.0283210428940536,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,2,logits,1,155.06951226908427,300.0,0.0,0.028035114973686,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,2,logits,2,155.06951226908427,300.0,0.0,0.0319574950029693,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,0,operands,0,4.321648011087988,300.0,0.0,0.0914909547555763,0.0,0.069043744036692,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,0,operands,1,4.357676592055999,300.0,0.0,0.0883685973249802,0.0,0.0659316783339244,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,0,operands,2,4.355792731261941,300.0,0.0,0.091773243257734,0.0,0.066655833044745,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,1,hook_hidden,0,27.363749674628668,300.0,0.0,0.1095049021036531,1.0,0.0537966594808148,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,1,hook_hidden,1,27.00913199821698,300.0,0.0,0.0978373650832722,0.0,0.0489828660736638,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,1,hook_hidden,2,27.389632826036436,300.0,0.0,0.1027019859107726,0.0,0.0361863147811511,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,2,logits,0,183.9106380250281,300.0,0.0,0.0956861354005801,0.0,0.0463952570714507,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,2,logits,1,186.9210212525788,300.0,0.0,0.0920454155889046,0.0,0.0460314220402953,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,at,14613,8,2,logits,2,189.62677683712167,300.0,0.0,0.1187495028672983,0.0,0.0482287882443035,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
