regime,estimator,atom,bits,share,ci_lo,ci_hi,null_median,null_p,total,n,n_configurations,n_effective,target,source_a,source_b
canonical,gaussian_mmi__terminal,unique_b,0.0,0.0,0.0,0.0657929774556844,0.0007509321834313631,1.0,0.24010708408998116,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,gaussian_mmi__terminal,synergistic,0.0029986635668241557,0.012488859202922949,2.1273146133704568e-05,0.14951930065141267,0.010588356398082227,0.704647676161919,0.24010708408998116,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__ratio,redundant,0.15204941554056167,0.18100618504261579,,,0.2538800944936921,0.9335332333833083,0.8400233146992376,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__ratio,unique_a,0.4005139788646815,0.47678912222582975,,,0.08664339756999317,0.0009995002498750624,0.8400233146992376,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__ratio,unique_b,0.0,0.0,,,0.09453938317048394,1.0,0.8400233146992376,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__ratio,synergistic,0.2874599202939944,0.34220469273155435,,,0.4754945823107225,0.9885057471264368,0.8400233146992376,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__terminal,redundant,0.15204941554056167,0.26868374089806407,,,0.21143521252371367,0.7791104447776112,0.565904788404177,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__terminal,unique_a,0.08664339756999317,0.15310596295592974,,,0.028504967820152605,0.14742628685657172,0.565904788404177,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__terminal,unique_b,0.0,0.0,,,0.14631660084763187,1.0,0.565904788404177,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,williams_beer__terminal,synergistic,0.32721197529362217,0.5782102961460062,,,0.32937514620118347,0.5262368815592204,0.565904788404177,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
